filename,title,rating,ship,language,category,lovers,wordcount,published,hits,freeform_tags
1_1.txt,The Debauchery of Trust,explicit,none,English,slash,Abraxas Malfoy/Tom Riddle,3919,2020-04-01,1316,Smut|69 (Sex Position)|Blow Jobs|Anal Sex|Anal Fingering|Established Relationship|First War with Voldemort|Sane Voldemort (Harry Potter)|Dom/sub|Sub Tom Riddle|Drunk Sex|Love Confessions|Trust Issues|Dirty Talk
1_2.txt,Love Inquires,mature,none,English,multi,Aziraphale/Crowley (Good Omens),50371,2020-02-21,1098,Harry Potter was Adopted by Other(s)|Harry Potter was Raised by Other(s)|Hermoine was Adopted by Loki( Gabriel)|Harry&#39;s Paseltounge isn&#39;t just becase of the Horcux becuase come On!|Harry was a Horcux he isn&#39;t anymore thank someone|Lucas Burr the Supernatual dectector|Sam adopts Lucas Burr becuase Lucas is a quite soul who&#39;s family died|Pagen Sam|phinx had a cult( really isn&#39;t one but it&#39;s easist way to say it)|Sam is takeing online courses for something|Adam Milligan is a Winchester|Adam Milligan gouse by Abel Milligan to odvoide confousion with Adam Young|Lucifer Morningstar from Lucifer is Lucifer/ Satan from Good Omens|Lucifer Morningstar is the Real Devil|He has a vauge idea of what is happing|Gabriel (Supernatural) is Loki|So he has some kidos other then Hermoine|Hermoine Granger is Hermoine Granger-Lokidótti|Marryed Crowley and Aziraphale|Good Parents Aziraphale and Crowley (Good Omens)|Anathema and Newton have adopted Warlock on the wishes of Nany Ashthron|Warlock is a warlock( Read Wizeard)|BAMF Luna Lovegood|Seer Luna Lovegood|Realy it&#39;s BAMF everyone|Oh Look Newt and Creadnce were friends with Crowley|Oh Look! Demon deals aren&#39;t the only one in the clouset|This is LBGT+ friendly|I wrote this instead of sleeping on muliple occasions|I pritty sure my grades are suffering becuase of this|Most parts are over 3000 words|Season 3 sorta rewright|Season 4 sorta rewright|There is alot of cris crossing|do try and keep up|Headcanon Sam had a wonderfull Singing voice|Someone help these people|Sammy had powers not ashoiated with Demon blood|Demon blood? what Demon Blood|Weasleys&#39; Wizard Wheezes|Weasley Bashing|Exept Fred George Bill Charlie and Percy|Werewolf! Bill Weasley|Asexual Charlie Weasley|Magical Stiles Stilinski|Pre-Season/Series 01|Canon Divergence - Post-Harry Potter and the Deathly Hallows|Canon Divergence - Pre-Harry Potter and the Deathly Hallows|Death in good Omens is Death in Superntatural|Pestilence is Pollotions twin|Famine (Good Omens) is Famine (supernatual) Ward|War (supernatual) is War( Good Omens) husband|Smart Sam Winchester|Arrowverse timeline with a few changes becase it&#39;s not very spific with some events|Arrowverse Crossover|Once again you can&#39;t have Constientin with out Green Arrow|Wrote this before I even learned of Crist on ifenent earths|Pre- Canon for most Arrowverse|Pre-Crisis|Mettions of the Bat Family|This sires is now Chaotic Lawfull|Constinetin had a one night stand with Lucifer at one point|Crowley and Jörmungandr are Gender-fluid and no one can fight me on that|Creation of the Time Masters? Hells yeah I did|Time Master created becuase of the Professor and Rose Tyler|Time Masters created by a Timelord|Mettions of Sandbrook|Uriel (supernatual) is Uriel (Good Omens)|Micheal ( Good Omens) is Micheal (Supernatural)|The Holmes childern are half timelord|Gabriel( Good Omens) is a Clone of Gabriel( Supernatural) Crated by Ralpheal and Micheal|Angels Demons and Werewolves have mates|Jimmy is a single parent|Who gets Cas to take in his daughter while wearing him like a prom dress|The Best Baby sitter is Hela the Goddess of the unhonerble dead|Lucas and Claire are BAF BFF|Castiel adopts Claire Novek|Severus is helping stop the Apocuilipes becuase he is board|Windigo Hannibal Lector|Ravenstag|No beta we fall like Crowley|Ravenstag Will Graham|Ravenstag Hannibal Lector|Will Graham and Dean Winchester were penpals of Sorts|Master of Death Harry Potter|Mpreg|Eventualy|Magial Beverly Katz|Adam Young Still Has Powers (Good Omens)
1_3.txt,"he's a killer queen, sunflower, guillotine",teen,none,English,gen,none,39085,2020-01-25,39006,Alternate Universe - Canon Divergence|Crossover
1_4.txt,Sorting Iruka Umino,general,none,English,slash,Hatake Kakashi/Umino Iruka,1712,2020-03-24,1165,Mahoutokoro (Harry Potter)|Ministry of Magic (Harry Potter)|Magic School|Fluff|First Year Iruka|Second Year Kakashi|Chibi Iruka|Lost and Found|Library as a Sanctuary|Kakashi tries to get out of his responsibilities|kakashi is whipped|Pre-Relationship|Minato knows to much|Mistaken for a Sensei|Protective Kakashi|connection|Fate|Iruka&#39;s adorable|Gai is Kakashi&#39;s Best Friend
1_5.txt,Lattes and Sugar,general,none,English,slash,Draco Malfoy/Harry Potter,2018,missing data,missing data,none
1_6.txt,Everything and Nothing,teen,none,English,slash,Remus Lupin/Sirius Black,5979,2020-03-24,2067,Angst|Angst and Feels|Angst and Tragedy|basically a shit ton of angst|Letters|Love Letters|Mental Health Issues|Bisexual Remus Lupin|Gay Sirius Black|Slow Burn|Canon Compliant|until it&#39;s not|Book 3: Harry Potter and the Prisoner of Azkaban|Book 4: Harry Potter and the Goblet of Fire|Book 5: Harry Potter and the Order of the Phoenix|Book 6: Harry Potter and the Half-Blood Prince|Original Character(s)|Love Triangles|Swearing|Anger|Grief/Mourning|POC Harry Potter|POC Hermione Granger|Number Twelve Grimmauld Place|Hogwarts|Teaching|Full Moon|Chronic Pain|Chronic limp|Lie Low At Lupin&#39;s (Harry Potter)|Remus Lupin Lives|Sirius Black Lives|Infidelity|Alcohol Abuse/Alcoholism|Drinking to Cope|Happy Ending|I promise there will be a happy ending!!|Fix-It|Memories|Trauma
1_7.txt,𝔖𝔞𝔦𝔫𝔱-𝔓𝔦𝔯𝔢,teen,none,English,multi,Original Female Character(s)/Severus Snape,1914,missing data,missing data,none
1_8.txt,Don't Panic,mature,none,English,femslash,Remus Lupin/Sirius Black,41217,2017-03-03,7111,Raising Harry|Order of the Phoenix (Harry Potter)|Female Remus Lupin|Female Sirius Black|Angst|Kid Fic|acknowledgement that Dumbledore is Flawed with a capital F|Canonical Character Death|Grief/Mourning|References to Torture|Minor Character Death|Blood and Violence
1_9.txt,To Heal and Obey,explicit,none,English,het,Bellatrix Black Lestrange/Voldemort,2144,2020-04-01,908,Bellamort|Nurses|Hospitals|Hospitalization|Alternate Universe|Possessive Tom Riddle|Sane Bellatrix Black Lestrange|First War with Voldemort|1970s|Healing|Magical Medicine|Poisoning|Poison
1_10.txt,Instructions Not Included,notrated,none,English,multi,Draco Malfoy/Hermione Granger,2470,2020-04-01,405,Autism|Autism Spectrum|Family|Angst|Alternate Universe - Parents|Established Relationship|Alternate Universe - Muggle|POV Third Person|POV Third Person Limited|POV Female Character|POV Hermione Granger|Adult Hermione Granger|Post-Hogwarts
