tag,freq
romance,214
fluff,185
angst,141
smut,118
harry potter epilogue what epilogue / ewe,100
alternate universe - canon divergence,86
hurt/comfort,74
alternate universe,72
slow burn,69
post-war,67
one shot,67
humor,61
post-hogwarts,59
time travel,59
explicit sexual content,56
fluff and smut,55
fluff and angst,52
friendship,49
established relationship,48
hogwarts eighth year,46
friends to lovers,45
sex,45
drama,44
christmas,44
not epilogue compliant,39
dramione - freeform,38
fluff and humor,37
eventual romance,36
angst with a happy ending,35
post-traumatic stress disorder,35
eventual smut,34
oral sex,34
family,31
hogwarts,31
drabble,31
love,30
severus snape lives,29
crossover,29
pov hermione granger,28
pregnancy,28
not canon compliant,28
explicit language,28
christmas fluff,27
emotional hurt/comfort,24
vaginal fingering,24
bamf hermione granger,24
enemies to friends to lovers,23
post-battle of hogwarts,23
time turner,23
sexual content,23
character death,23
alternate universe - modern setting,23
alternate universe - muggle,22
ron weasley bashing,22
masturbation,22
dubious consent,22
discord: bellamione cult,22
bdsm,21
pining,21
violence,20
pov draco malfoy,20
hogwarts sixth year,20
plot what plot/porn without plot,20
rough sex,20
adult hermione granger,19
minor character death,19
teacher-student relationship,19
marauders,19
light angst,19
falling in love,19
first time,19
voyeurism,19
cunnilingus,19
vaginal sex,19
rape/non-con elements,18
dark,18
drama and romance,18
infidelity,18
sexual tension,18
shameless smut,18
femslash,18
secret relationship,18
torture,17
post-canon,17
other additional tags to be added,17
spanking,17
co-workers,17
dirty talk,17
mystery,16
friendship/love,16
good draco malfoy,16
pwp,16
alternate universe - time travel,16
mutual pining,15
complete,15
past hermione granger/ron weasley,15
anal sex,15
enemies to lovers,14
public sex,14
happy ending,14
domestic fluff,14
jealousy,14
crossover pairing,14
slow build,13
magic,13
depression,13
songfic,13
dom/sub,13
loss of virginity,13
banter,13
manipulative albus dumbledore,13
alternate universe - soulmates,13
first kiss,13
dark hermione granger,13
alternate universe - harry potter setting,12
porn with plot,12
fred weasley lives,12
ewe,12
alpha/beta/omega dynamics,12
marriage,12
arranged marriage,12
black hermione granger,12
halloween,12
unrequited love,12
alternate universe - non-magical,12
cross-posted on fanfiction.net,11
exhibitionism,11
attempt at humor,11
soulmates,11
prompt fic,11
out of character,11
war,11
love confessions,11
marriage law,11
hp: ewe,11
alternate universe - voldemort wins,10
death,10
alternate universe - hogwarts,10
angst and hurt/comfort,10
book 7,10
lesbian sex,10
ministry of magic,10
murder,10
age difference,10
flirting,10
animagus,10
head girl hermione granger,10
mental health issues,10
sharing a bed,10
fake/pretend relationship,10
tragedy,10
bellamione cult discord game,10
not canon compliant - harry potter and the deathly hallows,9
memory loss,9
post-second war with voldemort,9
albus dumbledore bashing,9
praise kink,9
romantic fluff,9
eventual happy ending,9
marriage law challenge,9
horror,9
rare pairing,9
pining draco malfoy,9
family fluff,9
divorce,9
implied/referenced child abuse,9
comedy,9
misunderstanding,9
alternate universe - college/university,9
emotional manipulation,9
crack,9
time travel fix-it,9
underage sex,9
grief/mourning,8
dark magic,8
unresolved sexual tension,8
polyamory,8
ginny weasley bashing,8
suicidal thoughts,8
hermione granger-centric,8
murder mystery,8
semi-public sex,8
original character,8
kissing,8
good severus snape,8
redeemed draco malfoy,8
pranks and practical jokes,8
adventure,8
biting,8
pre-relationship,8
creature fic,8
secrets,8
veela draco malfoy,8
mild language,8
canon compliant,8
quidditch,8
getting together,8
blow jobs,8
past relationship,8
christmas party,8
relationship,8
soulmate-identifying marks,8
wedding,8
lemon,8
horcrux hunting,7
pureblood hermione granger,7
unplanned pregnancy,7
worldbuilding,7
book 4,7
action/adventure,7
emotional/psychological abuse,7
implied/referenced rape/non-con,7
canon-typical violence,7
arguing,7
not beta read,7
ministry of magic employee hermione granger,7
lust,7
veela mates,7
alternate universe - no voldemort,7
porn with feeling,7
true love,7
hermione granger and harry potter friendship,7
post war,7
bondage,7
cute,7
death eaters,7
head boy draco malfoy,7
light bdsm,7
molly weasley bashing,7
threesome - f/m/m,7
friends with benefits,7
oneshot,7
healing,7
adult content,7
dancing,7
tomione - freeform,7
minister for magic hermione granger,7
abuse,7
mild sexual content,7
hogwarts seventh year,7
alternate universe - no powers,7
rape,6
flashbacks,6
heartbreak,6
non-canon relationship,6
anxiety,6
good slytherins,6
idiots in love,6
implied sexual content,6
alternate universe - student/teacher,6
implied/referenced character death,6
werewolves,6
family drama,6
pov multiple,6
dragons,6
vampires,6
potions,6
humiliation,6
hermione granger - freeform,6
tooth-rotting fluff,6
romantic comedy,6
tumblr prompt,6
blind date,6
