tag,freq
marauders,89
alternate universe - canon divergence,40
angst,35
fluff,34
alternate universe - modern setting,34
alternate universe - muggle,28
jily,27
romance,23
first war with voldemort,22
friendship,19
humor,19
canonical character death,16
hurt/comfort,14
slow burn,14
hogwarts,14
early work,14
canon compliant,12
fluff and angst,12
alternate universe,11
lily evans potter lives,10
marauders friendship,9
alternate universe - college/university,9
fluff and humor,9
introspection,9
unrequited love,9
meet-cute,9
bamf lily evans potter,8
lily evans potter and severus snape friendship,8
grief/mourning,8
established relationship,8
drama,8
wolfstar,8
mutual pining,8
friends to lovers,8
emotional hurt,8
one shot,8
hogwarts seventh year,6
time travel,6
alternate universe - soulmates,6
wrong boy-who-lived,6
alternate universe - everyone lives/nobody dies,6
fake/pretend relationship,6
pining,6
teen romance,5
potions,5
order of the phoenix,5
not canon compliant,5
quidditch,5
implied/referenced child abuse,5
character death,5
adventure,5
james potter lives,5
jilytober 2018,5
past child abuse,5
modern marauders,5
minor character death,5
pov first person,5
ficlet,5
silly,5
drabble,5
depression,5
good severus snape,5
first meeting,5
crack,5
muggle au,5
angst with a happy ending,4
eventual smut,4
texting,4
oral sex,4
the marauders - freeform,4
harry potter - freeform,4
how do i tag,4
remus lupin and lily evans potter friendship,4
child abuse,4
parseltongue,4
severitus / severus snape is harry potter's parent,4
valentine's day,4
songfic,4
banter,4
other additional tags to be added,4
parent/child incest,4
tumblr prompt,4
jealousy,4
implied sexual content,4
light angst,4
baby harry potter,4
enemies to friends to lovers,4
first kiss,4
friendship/love,4
social media au,4
short one shot,4
soulmates,4
wizarding politics,4
originally posted on tumblr,4
no boy-who-lived,3
enemies to lovers,3
eventual romance,3
summer,3
secret relationship,3
indian james potter,3
alternate universe - high school,3
explicit sexual content,3
vaginal sex,3
1970s,3
mental health issues,3
post-first war with voldemort,3
politics,3
post-hogwarts,3
severus snape has a heart,3
war,3
werewolves,3
sirius black as padfoot,3
animagus,3
child neglect,3
adventure and romance,3
good slytherins,3
slytherin harry potter,3
pov remus lupin,3
minor sirius black/remus lupin,3
falling in love,3
idiots in love,3
sad,3
blackinnon,3
drama and romance,3
slow build,3
anxiety,3
panic attacks,3
self-hatred,3
hurt,3
regret,3
family drama,3
harry potter was raised by other,3
break up,3
canon universe,3
prompt fic,3
not beta read,3
pre-hogwarts,3
co-workers,3
christmas,3
alternate universe - non-magical,3
jily challenge,3
awkwardness,3
femslash,3
pre-canon,3
social media,3
gryffindor vs. slytherin rivalry,3
magic,3
flirting,3
canon-typical violence,3
transgender,3
violence,3
community: hpft,3
romantic fluff,3
wizarding world,3
death eaters,3
alternate universe - coffee shops and cafés,3
