tag,freq
alternate universe - canon divergence,30
fluff,29
angst,27
fluff and angst,26
romance,26
marauders,26
slow burn,22
hogwarts,19
alternate universe,17
friends to lovers,17
friendship,14
smut,14
eventual romance,13
humor,10
explicit sexual content,10
drama,10
pureblood culture,9
severus snape has a heart,9
death eaters,9
hurt/comfort,9
enemies to friends to lovers,9
family,9
implied/referenced child abuse,8
original character,8
emotional hurt/comfort,8
eventual smut,8
post-hogwarts,8
angst with a happy ending,8
falling in love,7
love,7
secrets,7
angst and hurt/comfort,7
slytherin,7
time travel,6
child abuse,6
severus snape lives,6
emotional/psychological abuse,6
drama and romance,6
fluff and smut,6
community: hpft,6
other additional tags to be added,6
major original character,6
soulmates,6
gryffindor,6
post-traumatic stress disorder,6
original character-centric,6
canonical character death,6
slow build,6
quidditch,6
alternate universe - harry potter setting,6
fluff and humor,5
dark magic,5
alternate universe - hogwarts,5
original character death,5
horcruxes,5
coming of age,5
mental health issues,5
animagus,5
explicit language,5
teacher-student relationship,5
angst and fluff and smut,5
triwizard tournament,5
sane tom riddle,5
family feels,5
unrequited love,5
cross-posted on fanfiction.net,5
past child abuse,5
harry potter next generation,5
sexual content,5
mutual pining,5
miscommunication,5
strong female characters,5
good tom riddle,4
violence,4
implied/referenced rape/non-con,4
ilvermorny,4
twins,4
book 4,4
torture,4
canon compliant,4
dubious consent,4
suicidal thoughts,4
arranged marriage,4
action/adventure,4
pov original female character,4
the golden trio era,4
grief/mourning,4
first time,4
pureblood society,4
alternate universe - soulmates,4
enemies to lovers,4
muggle/wizard relations,4
good draco malfoy,4
gryffindor/slytherin inter-house relationships,4
sex,4
crossover,4
threesome - f/m/m,4
family issues,4
magic,4
family secrets,4
war,4
eventual relationships,4
vaginal fingering,4
past rape/non-con,4
physical abuse,4
established relationship,4
character development,4
secret crush,4
teen romance,4
loss of virginity,4
plot what plot/porn without plot,4
slytherin harry potter,3
malfoy family feels,3
tom riddle is a sweetheart,3
rape/non-con elements,3
prostitution,3
death,3
ministry of magic,3
harry potter was raised by other,3
psychological torture,3
psychological trauma,3
bullying,3
self-harm,3
underage sex,3
sexual abuse,3
anorexia,3
alternate universe - everyone lives/nobody dies,3
book 1,3
secret relationship,3
first war with voldemort,3
pureblood politics,3
gryffindor vs. slytherin rivalry,3
harry potter - freeform,3
dragons,3
good slytherins,3
anxiety,3
self-insert,3
implied sexual content,3
the author regrets nothing,3
mild hurt/comfort,3
depression,3
pov first person,3
second war with voldemort,3
references to depression,3
dysfunctional family,3
young tom riddle,3
family drama,3
fantasy,3
order of the phoenix,3
not canon compliant,3
knockturn alley,3
pov original character,3
unplanned pregnancy,3
teen angst,3
hogwarts sixth year,3
mentor severus snape,3
teasing,3
naked cuddling,3
ron weasley bashing,3
rape,3
verbal abuse,3
bondage,3
hurt,3
abuse,3
past relationship,3
ravenclaw,3
manipulation,3
emotional baggage,3
witches,3
pre-canon,3
childhood friends,3
one-sided attraction,3
bad flirting,3
seer,3
harry potter epilogue what epilogue / ewe,3
adventure,3
the noble and most ancient house of black,3
one shot,3
post-war,3
fake/pretend relationship,3
i'm bad at tagging,3
slytherins being slytherins,3
hufflepuff and slytherin inter-house friendships,3
video game: harry potter: hogwarts mystery,3
hogwarts third year,3
