tag,freq
marauders,292
angst,145
fluff,144
wolfstar,109
alternate universe - canon divergence,66
hurt/comfort,58
alternate universe - modern setting,54
established relationship,46
pining,43
fluff and angst,42
romance,42
angst with a happy ending,38
marauders friendship,38
first war with voldemort,38
gay sirius black,37
friends to lovers,36
alternate universe,35
friendship,34
humor,34
slow burn,33
sirius black lives,33
alternate universe - non-magical,33
first kiss,31
getting together,31
young sirius black,30
pov sirius black,30
anal sex,30
hogwarts,29
bisexual remus lupin,28
light angst,28
mutual pining,28
pov remus lupin,26
smut,26
alternate universe - muggle,26
emotional hurt/comfort,26
implied/referenced child abuse,25
sirius black and james potter friendship,24
canon compliant,23
christmas,22
one shot,21
animagus,20
oral sex,20
blow jobs,19
the noble and most ancient house of black,19
plot what plot/porn without plot,19
grief/mourning,18
fluff and humor,17
coming out,17
drabble,17
swearing,16
lie low at lupin's,16
depression,16
fluff and smut,16
jealousy,16
canonical character death,15
young remus lupin,15
post-traumatic stress disorder,15
werewolf remus lupin,15
drinking,15
time travel,15
jily,14
post-sirius black in azkaban,14
explicit sexual content,14
remus lupin lives,13
happy ending,13
love,13
remus lupin and lily evans potter friendship,13
gay,13
remus lupin needs a hug,13
post-hogwarts,13
alternate universe - no voldemort,13
book 5,12
order of the phoenix,12
dirty talk,12
tooth-rotting fluff,12
meet-cute,12
anal fingering,12
domestic fluff,12
alternate universe - soulmates,12
mental health issues,11
werewolves,11
falling in love,11
regulus black-centric,11
gay remus lupin,11
gay sex,11
crack,11
angst and hurt/comfort,11
dom/sub,11
underage drinking,11
alternate universe - college/university,11
best friends,11
child abuse,11
songfic,11
book 3,10
minor character death,10
friendship/love,10
frottage,10
pre-canon,10
hogwarts era,10
first time,10
implied sexual content,10
recreational drug use,10
banter,10
mwpp,10
cute,9
baby harry,9
emotional/psychological abuse,9
minor james potter/lily evans potter,9
internalized homophobia,9
rimming,9
sex,9
post-first war with voldemort,9
death eaters,9
anxiety,9
sad,9
alternate universe - harry potter setting,9
christmas fluff,9
sirius black and lily evans potter friendship,8
eventual smut,8
character death,8
inspired by tumblr,8
second war with voldemort,8
flirting,8
azkaban,8
regulus black feels,8
black family-centric,8
pov regulus black,8
heavy angst,8
shameless smut,8
ficlet,8
masturbation,8
full moon,7
fix-it,7
song lyrics,7
slice of life,7
past child abuse,7
dysfunctional family,7
established sirius black/remus lupin,7
sexual tension,7
sirius black and remus lupin raise harry potter,7
baby harry potter,7
family,7
kissing,7
wordcount: 100-500,7
references to depression,7
angst and fluff and smut,7
hand jobs,7
drama,7
rough sex,7
regulus black lives,7
sirius black free from azkaban,7
flashbacks,7
violence,7
abuse,7
family drama,7
raising harry potter,7
love confessions,7
ficlet collection,7
getting back together,7
other additional tags to be added,7
the prank,7
alternate universe - everyone lives/nobody dies,7
scars,7
harry potter was raised by remus lupin and sirius black,7
the marauder's map,7
comedy,7
crushes,7
number twelve grimmauld place,6
eventual romance,6
polyamory,6
post-canon,6
panic attacks,6
quidditch,6
physical abuse,6
crossover,6
guilt,6
bottom sirius black,6
top remus lupin,6
bisexual sirius black,6
short one shot,6
family feels,6
age difference,6
suicidal thoughts,6
based on a tumblr post,6
alternate universe - high school,6
mystery,6
i guess,6
sexual content,6
alternate universe - no powers,6
sharing a bed,6
alternate universe - coffee shops and cafés,6
childhood friends,6
explicit language,6
time skips,6
idiots in love,6
not canon compliant,6
sibling incest,6
underage sex,6
not actually unrequited love,6
past relationship,6
slash,6
homophobia,6
misunderstanding,6
modern au,6
afterlife,6
mpreg,6
pre-relationship,6
incest,6
soulmate-identifying marks,6
pranks and practical jokes,6
crack treated seriously,6
r/s 24 hour challenge,6
