tag,freq
time travel,50
alternate universe - canon divergence,40
angst,34
possessive tom riddle,29
fluff,26
alternate universe,25
slow burn,22
romance,21
alternate universe - modern setting,19
sane tom riddle,18
young tom riddle,18
smut,16
dubious consent,16
hurt/comfort,15
master of death harry potter,15
female harry potter,15
other additional tags to be added,15
dark harry potter,15
horcruxes,13
dark harry,13
soulmates,12
mpreg,12
slytherin harry potter,12
alternate universe - time travel,12
hogwarts,12
alternate universe - soulmates,12
alternate universe - muggle,12
manipulative tom riddle,11
murder,11
dark,10
dark magic,10
minor character death,10
good tom riddle,9
possessive behavior,9
politics,9
drama,9
explicit sexual content,9
torture,9
character study,8
crack,8
dumbledore bashing,8
eventual smut,8
blood and gore,8
power dynamics,8
enemies to friends to lovers,8
alternate universe - non-magical,8
harry potter is a horcrux,8
blow jobs,7
established relationship,7
fluff and angst,7
pureblood politics,7
riddle at hogwarts era,7
humor,7
tom riddle is a sweetheart,7
time turner,7
tom riddle is his own warning,7
implied/referenced child abuse,7
child abuse,7
unhealthy relationships,7
minister for magic tom riddle,7
post-traumatic stress disorder,7
character death,7
fluff and smut,7
manipulative albus dumbledore,7
implied sexual content,7
one shot,7
age difference,7
violence,7
tomione - freeform,7
anal sex,6
dirty talk,6
pureblood culture,6
pre-canon,6
parseltongue,6
rape/non-con elements,6
pov tom riddle,6
1940s,6
slash,6
protective tom riddle,6
powerful harry,6
weasley bashing,6
sex,6
emotional manipulation,6
alpha/beta/omega dynamics,6
soulmate-identifying marks,6
перевод на русский / translation in russian,6
soul bond,5
emotional hurt/comfort,5
slytherins being slytherins,5
top tom riddle,5
fluff and humor,5
eventual romance,5
teenage tom riddle,5
world war ii,5
alternate universe - voldemort wins,5
friendship,5
oral sex,5
tomarry - freeform,5
albus dumbledore bashing,5
falling in love,5
immortality,5
professor tom riddle,5
marauders,5
hermione granger bashing,5
knights of walpurgis,5
stockholm syndrome,5
manipulation,5
manipulative dumbledore,5
obsession,5
rough sex,5
jealousy,5
sexual tension,5
sadism,5
loss of virginity,5
mystery,5
death eaters,5
anal fingering,4
sane voldemort,4
obsessive tom riddle,4
molly weasley bashing,4
dead dove: do not eat,4
post-hogwarts,4
moral ambiguity,4
alternate universe - reincarnation,4
reincarnation,4
vaginal fingering,4
top harry potter,4
canon-typical violence,4
cannibalism,4
hand jobs,4
getting together,4
jealous tom riddle,4
fem!harry,4
magically powerful harry potter,4
psychological torture,4
not beta read,4
abuse,4
fae and fairies,4
the deathly hallows,4
morally grey harry potter,4
past child abuse,4
pre-slash,4
secret relationship,4
mental health issues,4
drabble,4
alternate timelines,4
light angst,4
bdsm,4
blood,4
slytherin,4
animagus,4
kidnapping,4
emotional/psychological abuse,4
implied/referenced rape/non-con,4
female tom riddle,4
alternate universe - harry potter setting,4
alternate universe - college/university,4
alternate universe - no voldemort,4
dark lord harry potter,4
dom/sub,3
mpreg harry,3
pureblood society,3
tom riddle is not voldemort,3
alternate universe - hogwarts,3
head boy tom riddle,3
rimming,3
creature fic,3
ron weasley bashing,3
father-son relationship,3
parent-child relationship,3
good voldemort,3
good draco malfoy,3
dubious morality,3
bad decisions,3
period typical attitudes,3
dysfunctional relationships,3
present tense,3
internal conflict,3
bullying,3
suspense,3
flashbacks,3
coming of age,3
unreliable narrator,3
implied/referenced torture,3
teacher-student relationship,3
masturbation,3
sexual fantasy,3
bottom severus snape,3
domestic violence,3
good slytherins,3
idiots in love,3
bottom tom riddle,3
enemies to lovers,3
book 4,3
revenge,3
betrayal,3
triwizard tournament,3
serial killer tom riddle,3
power imbalance,3
slow build,3
no character bashing,3
pregnancy,3
love,3
harry potter and tom riddle attend hogwarts together,3
dom/sub undertones,3
possessive harry potter,3
bad albus dumbledore,3
omega harry potter,3
alpha tom riddle,3
quidditch,3
tom riddle being an asshole,3
time travel fix-it,3
pining,3
grey harry,3
self-harm,3
murder mystery,3
tooth-rotting fluff,3
politician tom riddle,3
sexual content,3
dark tom riddle,3
master of death,3
ron weasley is a good friend,3
rough oral sex,3
mildly dubious consent,3
infidelity,3
male slash,3
smart harry,3
good malfoy family,3
drama and romance,3
shameless smut,3
first time,3
durmstrang,3
masochism,3
child tom riddle,3
explicit language,3
happy ending,3
female harry,3
orphanage,3
hufflepuff,3
period-typical sexism,3
dark hermione granger,3
underage - freeform,3
grief/mourning,3
out of character,3
unrequited love,3
fake/pretend relationship,3
alternate universe - modern: no powers,3
hogwarts era,3
pov harry potter,3
alternate universe - modern with magic,3
kissing,3
knifeplay,3
alternate universe - canon,3
