tag,draco malfoy/harry potter,remus lupin/sirius black,draco malfoy/hermione granger,harry potter/tom riddle,harry potter/severus snape,james potter/lily evans potter,hermione granger/severus snape,ginny weasley/harry potter,newt scamander/tina goldstein,harry potter/hermione granger,albus severus potter/scorpius malfoy,newt scamander/original percival graves,albus dumbledore/gellert grindelwald,credence barebone/original percival graves,hermione granger/ron weasley,harry potter/voldemort,harry potter/ron weasley,hermione granger/tom riddle,harry potter/sirius black,original female character/severus snape,james sirius potter/teddy lupin,lily evans potter/severus snape,remus lupin/severus snape,hermione granger/pansy parkinson,bellatrix black lestrange/hermione granger,harry potter/original female character,newt scamander/theseus scamander,harry potter/luna lovegood,arthur weasley/molly weasley,nymphadora tonks/remus lupin,james potter/sirius black,ginny weasley/luna lovegood,astoria greengrass/draco malfoy,original female character/tom riddle,marcus flint/oliver wood,cedric diggory/harry potter,aziraphale/crowley,draco malfoy/ginny weasley,hermione granger/lucius malfoy,reader/severus snape,oliver wood/percy weasley,blaise zabini/harry potter,lucius malfoy/narcissa black malfoy,severus snape/sirius black,ginny weasley/pansy parkinson,regulus black/sirius black,charlie weasley/harry potter,draco malfoy/ron weasley,fred weasley/george weasley,dean thomas/seamus finnigan,draco malfoy/original female character,john watson/sherlock holmes,petunia evans dursley/vernon dursley,james potter/severus snape,original female character/sirius black,castiel/dean winchester,blaise zabini/ron weasley,bellatrix black lestrange/voldemort,hermione granger/sirius black,fred weasley/hermione granger,harry potter/lucius malfoy,hermione granger/viktor krum,draco malfoy/neville longbottom,draco malfoy/narcissa black malfoy,charlie weasley/draco malfoy,bill weasley/fleur delacour,andromeda black tonks/ted tonks,harry potter/original male character,harry potter/loki,rose weasley/scorpius malfoy,reader/remus lupin,lucius malfoy/severus snape,severus snape/tom riddle,draco malfoy/severus snape
smut,20,6,15,1,3,0,5,1,1,2,1,1,1,1,1,0,1,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
blow jobs,41,12,0,4,5,0,1,1,0,1,1,1,1,1,1,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
anal sex,37,8,1,2,7,0,1,0,0,2,1,2,1,3,0,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anal fingering,41,7,1,2,8,0,2,1,0,0,1,1,1,3,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
established relationship,34,8,4,2,4,2,1,2,0,1,4,2,2,1,1,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
first war with voldemort,0,29,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
sane voldemort,11,0,0,16,0,5,5,0,0,0,0,0,0,0,0,21,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
dom/sub,18,12,8,0,8,0,3,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,2,2,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
drunk sex,15,10,0,0,10,0,0,0,0,0,0,5,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
love confessions,20,8,3,0,1,0,1,3,5,3,3,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
