Smut,3013
Anal Sex,2137
Explicit Sexual Content,1949
Oral Sex,1839
Angst,1498
Romance,1331
Plot What Plot/Porn Without Plot,1311
Fluff,1216
Fluff and Smut,1209
Harry Potter Epilogue What Epilogue / EWE,1156
Blow Jobs,1088
Anal Fingering,941
Rough Sex,926
Slow Burn,900
Dirty Talk,872
Established Relationship,855
Alternate Universe - Canon Divergence,852
Vaginal Sex,841
Shameless Smut,809
none,748
Masturbation,719
Sex,697
First Time,691
Rimming,685
Hurt/Comfort,684
Alternate Universe,652
Post - Hogwarts,644
Vaginal Fingering,583
Eventual Smut,565
Post - War,564
BDSM,549
Porn With Plot,542
Voyeurism,532
Dom/sub,525
Praise Kink,523
Hogwarts Eighth Year,517
Dubious Consent,504
Spanking,500
Semi - Public Sex,499
Explicit Language,493
Hand Jobs,489
Cunnilingus,482
Friends to Lovers,479
Porn with Feelings,468
Angst with a Happy Ending,452
Humor,434
Rape/Non - con Elements,428
Age Difference,425
Auror Harry Potter,418
Light Dom/sub,417
Violence,416
Enemies to Lovers,406
Bottom Draco Malfoy,403
Top Harry Potter,394
Fluff and Angst,394
Mutual Pining,392
Mpreg,386
Daddy Kink,383
Post Traumatic Stress Disorder - PTSD,380
Loss of Virginity,365
Gay Sex,362
Falling In Love,358
Bottom Harry Potter,357
Pining,356
One Shot,352
Teacher - Student Relationship,351
Threesome - F/M/M,347
Drama,341
Kissing,338
Alpha/Beta/Omega Dynamics,337
Sex Toys,335
Bondage,329
Time Travel,322
Enemies to Friends to Lovers,319
Other Additional Tags to Be Added,319
Hogwarts,316
Happy Ending,313
POV Draco Malfoy,309
Sexual Content,309
Creampie,305
Torture,305
Sexual Tension,302
Light Bondage,297
Orgasm Delay/Denial,296
Exhibitionism,292
Marauders Era (Harry Potter),290
Light BDSM,288
Getting Together,288
Eventual Romance,287
Light Angst,285
Slash,284
PWP,278
Alternate Universe - Modern Setting,276
Secret Relationship,272
Teasing,271
Underage Sex,269
Public Sex,260
Infidelity,252
Top Draco Malfoy,250
Dom/sub Undertones,249
Character Death,247
Emotional Hurt/Comfort,246
Incest,244
Severus Snape Lives,243
Dark,237
Love,237
Minor Character Death,235
Jealousy,235
Polyamory,232
Multiple Orgasms,230
Rough Oral Sex,229
Post - Battle of Hogwarts,226
Angst and Fluff and Smut,225
Threesome - M/M/M,225
Frottage,225
Implied/Referenced Child Abuse,223
Shower Sex,220
Humiliation,220
Rape,213
Female Harry Potter,211
Possessive Behavior,209
Knotting,207
Bottom Harry,206
Soulmates,203
Aftercare,202
Double Penetration,201
Ron Weasley Bashing,199
Porn,198
Not Canon Compliant,198
Choking,198
Depression,197
Mildly Dubious Consent,197
POV Harry Potter,196
Slow Build,193
Banter,193
Dont copy to another site,192
Biting,189
Angst and Hurt/Comfort,188
Implied/Referenced Rape/Non - con,183
Size Kink,182
Face - Fucking,181
Murder,180
Not Epilogue Compliant,179
Mental Health Issues,178
Magic,178
POV Hermione Granger,177
Mutual Masturbation,176
Dark Magic,175
Cheating,171
Domestic Fluff,171
Begging,170
Alternate Universe - Muggle,167
Accidental Voyeurism,166
Drinking,165
Friendship,162
Drarry,161
Pregnancy,161
Death Eaters,161
Christmas,160
Lesbian Sex,160
Friends With Benefits,159
Idiots in Love,158
Alternate Universe - Voldemort Wins,158
Threesome - F/F/M,157
Quidditch,157
Top Severus Snape,155
Dead Dove: Do Not Eat,155
Alcohol,155
Mating Cycles/In Heat,155
Crossover,154
Canon Compliant,153
Love Confessions,152
Consensual Underage Sex,151
Original Character(s),151
Mystery,150
Come Swallowing,150
Sex Magic,148
First Kiss,146
Older Man/Younger Woman,146
Threesome,145
Top Harry,143
Manipulative Albus Dumbledore,143
Drama &amp; Romance,143
Male Slash,143
Alternate Universe - Harry Potter Setting,143
Sibling Incest,142
Fluff and Humor,142
Redeemed Draco Malfoy,141
Bottom Severus Snape,139
Blood and Gore,139
Adult Hermione Granger,137
Werewolves,137
Albus Dumbledore Bashing,136
Flirting,136
dramione - Freeform,136
Auror Draco Malfoy,134
Office Sex,133
Healing,133
Switching,132
Manipulation,132
Post - Canon,131
Blood and Violence,131
Creature Fic,131
Self - Harm,131
Come Eating,131
Parent/Child Incest,130
Nipple Play,129
Dark Harry Potter,129
Unresolved Sexual Tension,129
Consensual Sex,128
Alpha/Omega,128
wolfstar,128
Possessive Tom Riddle,128
Emotional Manipulation,128
Marauders,128
Abuse,127
Suicidal Thoughts,127
Boys Kissing,127
Alternate Universe - Non - Magical,127
Canon - Typical Violence,126
Kidnapping,125
Soul Bond,124
Sexual Fantasy,124
Explicit Consent,124
Good Draco Malfoy,124
First Time Blow Jobs,123
Extremely Dubious Consent,123
Blood,122
Past Child Abuse,121
Drunk Sex,121
AU,121
Bisexual Harry Potter,120
BAMF Hermione Granger,119
Unhealthy Relationships,119
Dom Draco Malfoy,118
Impregnation,118
Sub Draco Malfoy,117
Swearing,116
Rope Bondage,115
Potions,114
Hogwarts Sixth Year,114
Deepthroating,114
Hogwarts Seventh Year,113
Heavy Angst,113
Pining Draco Malfoy,113
Hair - pulling,113
Arranged Marriage,112
Panic Attacks,112
Anal Play,112
Child Abuse,112
Eventual Happy Ending,111
Minor Hermione Granger/Ron Weasley,111
Art,111
Enthusiastic Consent,111
Sharing a Bed,111
Complete,111
Sub Harry Potter,110
POV Alternating,110
Body Worship,110
Out of Character,109
Crack,109
Anxiety,108
Breeding,108
War,107
Overstimulation,106
Rare Pairings,106
Ministry of Magic (Harry Potter),106
Crossdressing,106
Anal,105
Vampires,105
Hate Sex,105
Death,105
Trauma,104
Gay,104
Punishment,104
Dark Hermione Granger,103
Grief/Mourning,103
Emotional/Psychological Abuse,103
Boys In Love,103
Gratuitous Smut,103
Coming Out,103
Horcruxes,102
Flashbacks,102
Doggy Style,102
Implied/Referenced Torture,101
Master of Death Harry Potter,101
Size Difference,101
Alternate Universe - No Voldemort,100
Misunderstandings,100
Dark Harry,99
Desk Sex,99
Sirius Black Lives,99
Cock Worship,99
Good Severus Snape,98
Not Beta Read,98
Wall Sex,97
Unhealthy Coping Mechanisms,97
Unplanned Pregnancy,97
Alcohol Abuse/Alcoholism,96
Lemon,96
Developing Relationship,96
Facials,96
Drabble,96
Magically Powerful Harry Potter,95
Slow Romance,94
Dominance,94
Femslash,94
Past Rape/Non - con,94
Blood and Injury,94
Cross - Generation Relationship,94
Verbal Humiliation,93
Alternate Universe - Soulmates,93
Outdoor Sex,93
Smoking,92
Forced Orgasm,92
Large Cock,92
Digital Art,92
Femdom,91
Christmas Fluff,91
Butt Plugs,90
Dom Harry Potter,90
Pet Names,90
Orgasm Control,90
Fred Weasley Lives,89
Powerful Harry,89
Scars,89
Strap - Ons,89
Kinktober,89
Past Relationship(s),88
Pureblood Culture (Harry Potter),88
Angst and Feels,88
Nightmares,87
Book 6: Harry Potter and the Half - Blood Prince,87
Alternate Universe - Hogwarts,86
Power Dynamics,86
Breathplay,86
Blindfolds,86
NSFW,86
POV First Person,86
Master/Slave,86
Post - Second War with Voldemort,86
Book 5: Harry Potter and the Order of the Phoenix,85
Co - workers,85
Blood Magic,85
Gay Draco Malfoy,85
Top Remus Lupin,85
Rough Kissing,85
Attempted Rape/Non - Con,85
Bullying,84
Sexual Slavery,84
Triad - Freeform,83
Recreational Drug Use,83
Canonical Character Death,83
Suicide Attempt,83
Harry Potter Next Generation,83
Slytherin Harry Potter,82
Number Twelve Grimmauld Place,82
Orgasm Denial,82
Drug Use,82
Unrequited Love,81
Fake/Pretend Relationship,81
Love/Hate,81
Bathroom Sex,81
Consensual Kink,81
Book 7: Harry Potter and the Deathly Hallows,81
Comeplay,81
Molly Weasley Bashing,80
Blood Kink,80
Past Abuse,80
Severus Snape Has a Heart,80
Christmas Smut,80
Lingerie,80
Marriage,79
Family,79
Forbidden Love,79
Pregnancy Kink,79
Secrets,78
First War with Voldemort,78
Horror,78
Dragons,78
Master/Pet,78
Public Blow Jobs,78
Auror Partners,77
Romantic Fluff,77
Fingerfucking,77
Forced Marriage,76
Omega Harry Potter,76
Anal Plug,76
Ginny Weasley Bashing,75
Alternate Universe - Time Travel,75
Werewolf Mates,75
Auror Ron Weasley,75
Seduction,75
Breeding Kink,74
Underage Drinking,74
Head Girl Hermione Granger,74
Bisexuality,73
Obsession,73
Morally Grey Harry Potter,73
Vibrators,73
Alternate Universe - College/University,72
Bottom Sirius Black,72
True Love,72
Safe Sane and Consensual,72
Edgeplay,72
Denial of Feelings,71
Action/Adventure,71
Internalized Homophobia,71
Cuddling &amp; Snuggling,71
Edging,71
Face - Sitting,71
Bonding,71
NSFW Art,71
Black Hermione Granger,71
Implied Mpreg,71
Prostitution,70
Ministry of Magic Employee Hermione Granger,70
Library Sex,70
Psychological Torture,70
Submission,70
Hogwarts Era,70
