Smut,1052
Anal Sex,822
Harry Potter Epilogue What Epilogue / EWE,769
Explicit Sexual Content,674
Angst,594
Oral Sex,544
Plot What Plot/Porn Without Plot,487
Blow Jobs,463
Anal Fingering,445
Fluff,435
Hogwarts Eighth Year,413
Romance,410
Fluff and Smut,408
Bottom Draco Malfoy,395
Slow Burn,386
Post - Hogwarts,364
Dirty Talk,344
Established Relationship,337
Rimming,323
Auror Harry Potter,318
POV Draco Malfoy,303
Post - War,298
Top Harry Potter,281
Hurt/Comfort,271
Rough Sex,257
Enemies to Lovers,249
Shameless Smut,249
Masturbation,248
Top Draco Malfoy,239
Angst with a Happy Ending,231
Praise Kink,225
Eventual Smut,219
Hand Jobs,213
Enemies to Friends to Lovers,212
none,204
Porn With Plot,202
Sex,202
Voyeurism,199
Alternate Universe - Canon Divergence,198
First Time,198
Semi - Public Sex,197
Mutual Pining,193
Pining,193
Porn with Feelings,190
Humor,189
Post Traumatic Stress Disorder - PTSD,186
Explicit Language,183
BDSM,180
Bottom Harry Potter,166
Dom/sub,165
Vaginal Sex,162
Happy Ending,156
Drarry,153
Light Dom/sub,153
Fluff and Angst,152
Spanking,152
Falling In Love,149
Friends to Lovers,149
POV Harry Potter,140
Daddy Kink,138
Dubious Consent,137
Kissing,137
Alternate Universe,135
Violence,131
Secret Relationship,131
Sexual Tension,130
Redeemed Draco Malfoy,130
Gay Sex,129
Vaginal Fingering,129
Getting Together,128
Auror Draco Malfoy,123
dramione - Freeform,121
Light Angst,120
One Shot,119
Drama,118
Rape/Non - con Elements,117
Sub Draco Malfoy,115
Hogwarts,115
Post - Battle of Hogwarts,114
Mpreg,114
Frottage,114
Threesome - F/M/M,112
POV Hermione Granger,112
Sexual Content,111
Dom Draco Malfoy,110
Eventual Romance,109
Light Bondage,109
Top Harry,108
Pining Draco Malfoy,105
Light BDSM,104
Jealousy,104
Not Epilogue Compliant,104
Orgasm Delay/Denial,102
Alpha/Beta/Omega Dynamics,99
Cunnilingus,99
Depression,96
Minor Character Death,96
Banter,94
Drinking,92
Emotional Hurt/Comfort,92
PWP,91
