Fluff,897
Angst,822
Harry Potter Epilogue What Epilogue / EWE,802
Romance,783
Smut,707
none,542
Slow Burn,530
Post - War,489
Hogwarts Eighth Year,462
Post - Hogwarts,453
Explicit Sexual Content,407
dramione - Freeform,399
POV Draco Malfoy,374
Enemies to Lovers,340
Alternate Universe - Canon Divergence,296
One Shot,286
Fluff and Angst,285
Hogwarts,279
Hurt/Comfort,273
Fluff and Smut,266
Enemies to Friends to Lovers,263
Good Draco Malfoy,262
POV Hermione Granger,247
Eventual Smut,245
Established Relationship,238
Redeemed Draco Malfoy,236
Eventual Romance,230
Humor,226
Oral Sex,220
Mutual Pining,213
Pining Draco Malfoy,200
Drama,196
Secret Relationship,195
Friends to Lovers,187
Post Traumatic Stress Disorder - PTSD,186
Post - Battle of Hogwarts,186
Pining,181
Angst with a Happy Ending,179
Alternate Universe,175
Plot What Plot/Porn Without Plot,167
Love,166
Character Death,166
Sex,161
Co - workers,152
Drabble,146
Head Girl Hermione Granger,142
Sexual Content,142
Falling In Love,141
Explicit Language,140
Hogwarts Sixth Year,137
Friendship,136
Ministry of Magic Employee Hermione Granger,135
Fluff and Humor,133
Rough Sex,129
Dirty Talk,128
Violence,128
Shameless Smut,127
Happy Ending,125
Christmas,125
Minor Character Death,124
Head Boy Draco Malfoy,124
Auror Draco Malfoy,124
Adult Hermione Granger,121
Light Angst,117
Sexual Tension,114
Porn With Plot,113
War,112
Mystery,112
Domestic Fluff,112
Death Eaters,109
Ron Weasley Bashing,108
Emotional Hurt/Comfort,103
Slytherin,103
Vaginal Sex,99
Slow Build,98
Draco Malfoy in the Muggle World,97
Not Epilogue Compliant,96
Vaginal Fingering,92
Alternate Universe - Voldemort Wins,90
Christmas Fluff,90
Praise Kink,88
Death Eater Draco Malfoy,88
Depression,86
Kissing,86
Idiots in Love,85
Dark,85
Book 6: Harry Potter and the Half - Blood Prince,84
Alternate Universe - Harry Potter Setting,84
Porn with Feelings,83
Angst and Hurt/Comfort,83
Not Canon Compliant,82
Mental Health Issues,81
Soulmates,80
Ministry of Magic Employee Draco Malfoy,80
BAMF Hermione Granger,79
Other Additional Tags to Be Added,79
Pregnancy,79
Past Hermione Granger/Ron Weasley,78
Flashbacks,78
Semi - Public Sex,77
Hogwarts Era,77
