Oral Sex,74
Smut,72
Explicit Sexual Content,55
Plot What Plot/Porn Without Plot,53
Vaginal Fingering,52
Anal Sex,46
Vaginal Sex,43
Cunnilingus,43
none,42
Rough Sex,32
Fluff and Smut,32
Blow Jobs,32
Masturbation,29
Shameless Smut,28
First Time,28
Romance,27
Lesbian Sex,25
Polyamory,23
Dirty Talk,22
Voyeurism,22
Alternate Universe - Canon Divergence,21
Incest,20
Post - Hogwarts,20
Post - War,19
Rape/Non - con Elements,18
Angst,18
Established Relationship,18
Strap - Ons,17
Semi - Public Sex,17
BDSM,16
Threesome - F/F/M,16
Bondage,16
Harry Potter Epilogue What Epilogue / EWE,16
Fluff,16
Dubious Consent,16
Cheating,15
Loss of Virginity,15
Porn With Plot,15
Teasing,14
Dom/sub,14
Creampie,14
Anal Fingering,14
Sexual Content,14
Sex,14
Canon Compliant,13
Explicit Language,13
Quidditch Player Ginny Weasley,13
Threesome - F/M/M,13
Sibling Incest,13
Double Penetration,13
Femslash,13
Threesome,12
Spanking,12
Orgasm Delay/Denial,12
Infidelity,12
One Shot,12
Rough Oral Sex,11
Porn with Feelings,11
Exhibitionism,11
Light Bondage,11
Sex Toys,11
Femdom,10
Alternate Universe,10
Bisexual Ginny Weasley,10
Quidditch,10
Teacher - Student Relationship,10
Dildos,10
Kissing,10
Friends With Benefits,10
Threesome - F/F/F,10
Light Dom/sub,10
Age Difference,9
Hurt/Comfort,9
Slow Burn,9
Dark,9
Torture,9
Post Traumatic Stress Disorder - PTSD,9
Underage Sex,9
Multiple Orgasms,9
Porn,9
Pegging,9
Post - Canon,9
Futanari,9
Impregnation,8
Eventual Smut,8
Angst and Fluff and Smut,8
Deepthroating,8
Come Swallowing,8
Facials,8
Sex Magic,8
Hogwarts,8
Auror Harry Potter,8
First Kiss,8
Consensual Sex,8
Cuckolding,8
Face - Fucking,8
Consensual Infidelity,8
Humiliation,7
Emotional Manipulation,7
Hair - pulling,7
Book 6: Harry Potter and the Half - Blood Prince,7
