Anal Sex,1319
Smut,836
Oral Sex,722
Explicit Sexual Content,633
Blow Jobs,608
Anal Fingering,583
Angst,560
Harry Potter Epilogue What Epilogue / EWE,529
Plot What Plot/Porn Without Plot,509
Rimming,458
Romance,454
Fluff,428
Top Harry Potter,388
Fluff and Smut,376
Auror Harry Potter,371
Dirty Talk,362
Established Relationship,360
Bottom Draco Malfoy,356
Rough Sex,354
First Time,353
Bottom Harry Potter,347
Slow Burn,337
Alternate Universe - Canon Divergence,321
Shameless Smut,303
Hurt/Comfort,299
Masturbation,288
Mpreg,280
Hand Jobs,279
Post - Hogwarts,279
Hogwarts Eighth Year,276
Alternate Universe,256
none,253
Vaginal Sex,239
Humor,219
Dubious Consent,216
Voyeurism,215
Dom/sub,213
Top Draco Malfoy,213
Angst with a Happy Ending,212
BDSM,211
Post - War,206
Gay Sex,204
Spanking,203
Bottom Harry,202
Porn With Plot,197
Slash,197
POV Harry Potter,192
Creampie,191
Praise Kink,190
Sex,188
Semi - Public Sex,187
Enemies to Friends to Lovers,184
Female Harry Potter,177
Getting Together,175
Porn with Feelings,174
Friends to Lovers,171
Age Difference,169
Falling In Love,169
Rape/Non - con Elements,169
Pining,168
Daddy Kink,167
Underage Sex,163
Eventual Smut,160
Happy Ending,159
Kissing,158
POV Draco Malfoy,157
Drarry,155
Alpha/Beta/Omega Dynamics,155
Post Traumatic Stress Disorder - PTSD,154
Sex Toys,154
Other Additional Tags to Be Added,153
Loss of Virginity,150
Enemies to Lovers,148
Violence,147
Fluff and Angst,146
Mutual Pining,145
Time Travel,142
Light Dom/sub,141
Frottage,141
Top Harry,140
Explicit Language,134
Threesome - M/M/M,133
Torture,125
Bondage,125
Orgasm Delay/Denial,125
Dont copy to another site,124
Incest,121
Emotional Hurt/Comfort,117
Sexual Tension,116
Teacher - Student Relationship,116
Drama,114
Light Angst,112
Bisexual Harry Potter,112
Light Bondage,112
Exhibitionism,112
Top Severus Snape,110
Light BDSM,110
Cunnilingus,109
Dark Harry Potter,107
Dom/sub Undertones,106
Sub Harry Potter,106
