Romance,551
Fluff,539
Female Harry Potter,448
none,365
Alternate Universe - Canon Divergence,286
Alternate Universe,229
Angst,223
Post - War,195
Friends to Lovers,175
Smut,173
Hurt/Comfort,161
Explicit Sexual Content,158
Harry Potter Epilogue What Epilogue / EWE,155
Friendship,145
Oral Sex,142
Family,128
Post - Hogwarts,125
Humor,124
Established Relationship,120
Fluff and Humor,118
Canon Compliant,116
Vaginal Sex,115
Slow Burn,114
One Shot,114
Fluff and Angst,112
Time Travel,107
Shameless Smut,104
Drama,100
Auror Harry Potter,94
Ron Weasley Bashing,93
Creampie,92
Domestic Fluff,86
Fluff and Smut,86
Christmas Fluff,80
Harmony - Freeform,79
Hogwarts,77
Rough Sex,75
Albus Dumbledore Bashing,74
Master of Death Harry Potter,74
Post - Battle of Hogwarts,73
Anal Sex,73
Hinny,72
Christmas,69
Book 6: Harry Potter and the Half - Blood Prince,68
Manipulative Albus Dumbledore,67
Drabble,67
Angst with a Happy Ending,66
Eventual Romance,64
Crossover,64
Alternate Universe - Gender Changes,62
Emotional Hurt/Comfort,61
Teen Romance,61
Book 7: Harry Potter and the Deathly Hallows,61
Plot What Plot/Porn Without Plot,60
Love,59
Post - Canon,59
Slytherin Harry Potter,59
Alternate Universe - Muggle,59
Pregnancy,58
Family Fluff,58
Other Additional Tags to Be Added,58
Ginny Weasley Bashing,57
Implied/Referenced Child Abuse,57
Not Epilogue Compliant,57
Cunnilingus,55
Molly Weasley Bashing,54
Post - Harry Potter and the Deathly Hallows,54
Post Traumatic Stress Disorder - PTSD,53
Sex,53
Light Angst,52
Alternate Universe - Harry Potter Setting,52
AU,50
Blow Jobs,49
Alternate Universe - Soulmates,47
Book 4: Harry Potter and the Goblet of Fire,47
Not Canon Compliant,46
Tumblr Prompt,46
Magic,45
Explicit Language,45
Book 5: Harry Potter and the Order of the Phoenix,45
Dirty Talk,45
Happy Ending,44
First Kiss,44
Romantic Fluff,44
Cock Worship,44
Character Death,43
First Time,43
Vaginal Fingering,43
Family Feels,42
Soulmates,42
Hogwarts Eighth Year,42
Kissing,40
Genderbending,40
Dark Harry Potter,40
POV Harry Potter,39
Falling In Love,39
BAMF Harry Potter,39
Mutual Pining,38
Female Harry,38
Pureblood Culture (Harry Potter),38
Friendship/Love,38
