Fluff,2472
Romance,2018
Angst,1644
Harry Potter Epilogue What Epilogue / EWE,1622
Smut,1509
none,1324
Alternate Universe - Canon Divergence,1171
Slow Burn,1039
Post - War,1036
Alternate Universe,917
Explicit Sexual Content,907
Post - Hogwarts,798
Hurt/Comfort,718
Established Relationship,701
Hogwarts Eighth Year,664
One Shot,634
Oral Sex,631
Time Travel,619
Fluff and Smut,604
Humor,593
Fluff and Angst,567
Friends to Lovers,546
POV Hermione Granger,532
Friendship,517
dramione - Freeform,488
Post Traumatic Stress Disorder - PTSD,478
Drama,432
Eventual Romance,419
Drabble,416
Eventual Smut,412
Plot What Plot/Porn Without Plot,408
Mutual Pining,407
Fluff and Humor,403
Angst with a Happy Ending,393
Enemies to Lovers,389
Adult Hermione Granger,382
BAMF Hermione Granger,381
Christmas,378
Hogwarts,377
Sex,369
Post - Battle of Hogwarts,350
Severus Snape Lives,349
POV Draco Malfoy,345
Love,345
Christmas Fluff,338
Ron Weasley Bashing,337
Vaginal Sex,335
Enemies to Friends to Lovers,333
Shameless Smut,330
Explicit Language,327
Domestic Fluff,319
Pining,317
Vaginal Fingering,312
Emotional Hurt/Comfort,302
Not Epilogue Compliant,292
Falling In Love,290
Light Angst,286
Not Canon Compliant,285
Character Death,284
Secret Relationship,282
Sexual Content,269
Soulmates,268
Family,268
Alternate Universe - Muggle,266
Rough Sex,265
Dirty Talk,265
Violence,263
Cunnilingus,254
Happy Ending,253
Crossover,249
Dark Hermione Granger,241
Threesome - F/M/M,237
Pregnancy,235
Good Draco Malfoy,229
Mystery,228
Other Additional Tags to Be Added,227
Masturbation,227
Redeemed Draco Malfoy,226
Minor Character Death,217
Porn With Plot,217
Fred Weasley Lives,215
Co - workers,214
Praise Kink,201
Ministry of Magic Employee Hermione Granger,201
Post - Canon,200
Anal Sex,199
Canon Compliant,199
Pining Draco Malfoy,198
Voyeurism,196
First Kiss,196
BDSM,195
Drama &amp; Romance,194
Angst and Hurt/Comfort,194
AU,192
Past Hermione Granger/Ron Weasley,190
Alternate Universe - Modern Setting,186
Kissing,186
Torture,184
Dark,183
Head Girl Hermione Granger,181
Dubious Consent,180
