Fluff,1804
Romance,1542
Harry Potter Epilogue What Epilogue / EWE,1271
Angst,1149
Smut,1062
none,959
Post - War,789
Slow Burn,690
Explicit Sexual Content,685
Post - Hogwarts,637
Alternate Universe - Canon Divergence,634
Alternate Universe,584
Hogwarts Eighth Year,524
Hurt/Comfort,482
Established Relationship,482
Fluff and Smut,456
One Shot,438
Humor,427
Oral Sex,412
Friends to Lovers,408
POV Hermione Granger,407
dramione - Freeform,407
Time Travel,398
Fluff and Angst,378
Mutual Pining,336
Drabble,319
Eventual Romance,316
POV Draco Malfoy,303
Friendship,303
Drama,300
Adult Hermione Granger,298
Christmas,296
Eventual Smut,295
Enemies to Lovers,291
Post Traumatic Stress Disorder - PTSD,291
Fluff and Humor,287
Sex,285
Angst with a Happy Ending,281
Severus Snape Lives,279
Plot What Plot/Porn Without Plot,279
Christmas Fluff,274
Hogwarts,258
Pining,254
Post - Battle of Hogwarts,248
Love,238
Domestic Fluff,237
Secret Relationship,233
Enemies to Friends to Lovers,232
Explicit Language,228
Vaginal Sex,227
Character Death,215
BAMF Hermione Granger,215
Ron Weasley Bashing,215
Sexual Content,215
Shameless Smut,211
Emotional Hurt/Comfort,208
Light Angst,207
Falling In Love,200
Rough Sex,200
Co - workers,196
Happy Ending,195
Not Epilogue Compliant,193
Dirty Talk,193
Not Canon Compliant,187
Alternate Universe - Muggle,186
Soulmates,183
Vaginal Fingering,182
Redeemed Draco Malfoy,181
Family,178
Pregnancy,175
Violence,174
Pining Draco Malfoy,172
Crossover,168
Good Draco Malfoy,166
Head Girl Hermione Granger,165
Fred Weasley Lives,165
Porn With Plot,164
Ministry of Magic Employee Hermione Granger,164
Mystery,161
Minor Character Death,153
Drama &amp; Romance,152
Masturbation,146
First Kiss,144
Sexual Tension,142
Romantic Fluff,140
Cunnilingus,139
Hogwarts Sixth Year,131
Praise Kink,130
Past Hermione Granger/Ron Weasley,129
Kissing,129
Angst and Hurt/Comfort,128
Idiots in Love,127
War,125
Dark,124
Other Additional Tags to Be Added,123
Canon Compliant,123
Head Boy Draco Malfoy,123
Dubious Consent,121
Auror Draco Malfoy,121
Banter,120
Post - Canon,119
