Smut,186
Explicit Sexual Content,140
Angst,92
Fluff,84
Fluff and Smut,78
Romance,77
Slow Burn,67
Oral Sex,64
Eventual Romance,60
Sex,55
Hogwarts,53
Eventual Smut,53
Rough Sex,53
Explicit Language,39
Porn With Plot,38
none,36
Hurt/Comfort,35
Teacher - Student Relationship,35
Vaginal Sex,32
Fluff and Angst,30
Falling In Love,30
Death Eaters,28
Semi - Public Sex,28
Enemies to Lovers,27
Friends to Lovers,26
Violence,26
Alternate Universe - Canon Divergence,25
Alternate Universe,24
Angst and Fluff and Smut,24
Secret Relationship,23
Original Character(s),23
Post Traumatic Stress Disorder - PTSD,23
Porn with Feelings,22
Love,22
Vaginal Fingering,22
Spanking,22
Drama,21
Dom/sub,21
Sexual Tension,20
Masturbation,20
Threesome - F/M/M,20
Loss of Virginity,20
BDSM,20
Shameless Smut,20
Enemies to Friends to Lovers,19
Jealousy,19
Dirty Talk,19
Friendship,18
Post - War,18
Dark Magic,18
Slow Build,17
Age Difference,17
Praise Kink,17
Canon Compliant,17
Plot What Plot/Porn Without Plot,17
Book 5: Harry Potter and the Order of the Phoenix,17
Cunnilingus,17
Quidditch,16
Implied/Referenced Child Abuse,16
Marauders Era (Harry Potter),16
Blow Jobs,16
Character Death,16
Slytherin,16
Humor,16
Torture,16
Anal Sex,16
Light Dom/sub,15
First Time,15
Older Man/Younger Woman,15
Sexual Content,14
Emotional Hurt/Comfort,14
Severus Snape Has a Heart,14
Not Canon Compliant,14
Daddy Kink,14
Underage Sex,14
Fred Weasley Lives,14
Public Sex,13
Shower Sex,13
Severus Snape Lives,13
Blood and Violence,13
Murder,13
Arranged Marriage,12
Slow Romance,12
Post - Battle of Hogwarts,12
Hogwarts Seventh Year,12
Angst and Hurt/Comfort,12
Slytherins Being Slytherins,12
Drama &amp; Romance,12
Book 6: Harry Potter and the Half - Blood Prince,12
Underage Drinking,12
Established Relationship,12
Kissing,12
Book 7: Harry Potter and the Deathly Hallows,12
Rape/Non - con Elements,11
Dubious Consent,11
Sex Toys,11
Dom/sub Undertones,11
Bullying,11
Ministry of Magic (Harry Potter),11
Post - Hogwarts,11
Alcohol Abuse/Alcoholism,11
