Fluff,694
Reader - Insert,376
Angst,371
Smut,350
none,238
Hogwarts,213
Fluff and Angst,188
Slow Burn,180
Romance,180
Friends to Lovers,161
Love,131
Marauders Era (Harry Potter),121
Fluff and Smut,118
Eventual Smut,113
Oral Sex,110
Hurt/Comfort,110
Established Relationship,98
Eventual Romance,91
One Shot,88
Falling In Love,85
Slytherin,82
Vaginal Sex,81
Kissing,80
Enemies to Lovers,79
Sex,79
Angst with a Happy Ending,77
Marauders,75
Mutual Pining,75
Slytherin Reader,73
Rough Sex,72
Vaginal Fingering,69
Tooth - Rotting Fluff,67
Teacher - Student Relationship,65
Friendship,64
Light Angst,60
Quidditch,60
Originally Posted on Tumblr,58
Gryffindor,56
Domestic Fluff,55
Enemies to Friends to Lovers,55
Romantic Fluff,54
Plot What Plot/Porn Without Plot,52
Alternate Universe - Canon Divergence,51
Young Sirius Black,50
Fred Weasley Lives,50
Post - Battle of Hogwarts,50
Jealousy,50
Book 4: Harry Potter and the Goblet of Fire,49
Harry Potter - Freeform,49
Emotional Hurt/Comfort,49
Cute,48
Hufflepuff,48
Alternate Universe - Harry Potter Setting,48
Dom/sub,47
Shameless Smut,47
First Kiss,46
Choking,45
Character Death,45
Angst and Hurt/Comfort,45
Magic,45
Alternate Universe - Hogwarts,44
Love Confessions,44
Pining,44
Happy Ending,43
Post - Hogwarts,42
Female Reader,41
Friendship/Love,41
Praise Kink,41
NSFW,41
Hufflepuff Reader,41
Swearing,41
Fluff and Humor,40
Reader - Interactive,39
Teasing,38
Explicit Sexual Content,38
Best Friends,38
Ravenclaw,38
Good Draco Malfoy,37
Idiots in Love,37
Oneshot,37
Secret Relationship,37
Book 5: Harry Potter and the Order of the Phoenix,37
Hogsmeade,36
Dirty Talk,36
Slow Romance,34
Daddy Kink,34
Cross - Posted on Tumblr,34
Marauders Friendship (Harry Potter),33
Pregnancy,33
Muggleborn Reader,33
Death Eaters,32
Slow Build,32
Battle of Hogwarts,32
Teen Romance,32
Drama &amp; Romance,32
Blow Jobs,32
Other Additional Tags to Be Added,32
Yule Ball (Harry Potter),32
Gryffindor Reader,32
Flirting,31
Death,31
