Fluff,487
Smut,269
Angst,259
Reader - Insert,244
none,161
Hogwarts,146
Slow Burn,137
Romance,131
Fluff and Angst,124
Friends to Lovers,107
Fluff and Smut,90
Eventual Smut,87
Love,86
Marauders Era (Harry Potter),79
Eventual Romance,78
Oral Sex,77
Established Relationship,68
Vaginal Sex,65
Sex,64
Falling In Love,60
One Shot,59
Hurt/Comfort,59
Slytherin,56
Teacher - Student Relationship,55
Slytherin Reader,55
Vaginal Fingering,54
Tooth - Rotting Fluff,53
Mutual Pining,53
Enemies to Lovers,52
Marauders,47
Angst with a Happy Ending,47
Rough Sex,46
Young Sirius Black,43
Light Angst,42
Quidditch,42
Post - Battle of Hogwarts,40
Enemies to Friends to Lovers,40
Romantic Fluff,39
Fred Weasley Lives,39
Originally Posted on Tumblr,39
Kissing,37
Plot What Plot/Porn Without Plot,36
Gryffindor,35
Friendship,35
Jealousy,35
Swearing,35
Book 4: Harry Potter and the Goblet of Fire,35
Domestic Fluff,34
Post - Hogwarts,34
Shameless Smut,34
Happy Ending,33
Choking,32
Character Death,32
Hufflepuff Reader,32
Secret Relationship,32
Oneshot,32
Alternate Universe - Canon Divergence,31
NSFW,31
Teasing,30
Harry Potter - Freeform,30
Cute,29
Slow Build,29
Friendship/Love,29
Muggleborn Reader,29
Alternate Universe - Hogwarts,28
Slow Romance,28
Death,28
Pining,28
Dirty Talk,28
Female Reader,27
Alternate Universe - Harry Potter Setting,27
Magic,27
Cross - Posted on Tumblr,27
Battle of Hogwarts,26
Reader - Interactive,26
Good Draco Malfoy,26
Explicit Sexual Content,26
Gryffindor Reader,26
Fluff and Humor,25
Love Confessions,25
Pregnancy,25
Idiots in Love,25
Hogwarts Seventh Year,25
Porn With Plot,25
Hogsmeade,24
Hufflepuff,24
Emotional Hurt/Comfort,24
Yule Ball (Harry Potter),24
Death Eaters,24
Praise Kink,23
Teen Romance,23
Unrequited Love,22
Dom/sub,22
Book 5: Harry Potter and the Order of the Phoenix,22
Blow Jobs,22
Marauders Friendship (Harry Potter),21
Unprotected Sex,21
Flirting,21
Ravenclaw Reader,21
Angst and Hurt/Comfort,21
Young Remus Lupin,21
