Fluff,30
Reader - Insert,23
He/Him pronouns used for reader,18
male reader - Freeform,17
Smut,14
Angst,10
MALE READER INSERT,10
Not Beta Read,8
Slow Burn,7
Hogwarts,7
Alternate Universe - Canon Divergence,7
Alpha/Beta/Omega Dynamics,7
Omega Reader,7
Eventual Smut,6
One Shot,6
Slytherin Reader,6
Marauders Era (Harry Potter),6
wlw,5
none,5
Lesbian Sex,5
Praise Kink,5
Plot What Plot/Porn Without Plot,5
Mpreg,5
Mild Language,5
Fluff and Angst,4
Slytherin,4
Hurt/Comfort,4
Harry Potter - Freeform,4
Age Difference,4
Friends to Lovers,4
hermione granger - Freeform,4
Mommy Kink,4
Cunnilingus,4
Dom/sub,4
Vaginal Fingering,4
First Kiss,4
The Golden Trio Era (Harry Potter),4
Angst with a Happy Ending,4
Romantic Fluff,4
Fluff and Humor,4
Getting Together,4
Oral Sex,4
Gay,4
Sexual Themes,4
Book 4: Harry Potter and the Goblet of Fire,3
Gryffindor Reader,3
Gryffindor Common Room,3
reader - Freeform,3
Rough Sex,3
BDSM,3
Bondage,3
Magic,3
Jealousy,3
Secret Relationship,3
Hogwarts Eighth Year,3
Sexual Tension,3
Love Confessions,3
Cute,3
Masturbation,3
Anal Sex,3
Alternate Universe - Hogwarts,3
Alternate Universe - Harry Potter Setting,3
Alternate Universe,3
Not Epilogue Compliant,3
Hufflepuff Reader,3
Alpha Severus Snape,3
Time Travel,2
Eventual Romance,2
Miscommunication,2
Domestic Fluff,2
Fluff without Plot,2
Confessions,2
Quidditch,2
Lesbian Character,2
Useless Lesbians,2
Book 1: Harry Potter and the Philosophers Stone,2
Diagon Alley,2
Hermione Granger is a Good Friend,2
Gryffindor Hermione Granger,2
Gay Male Character,2
Mutual Pining,2
Girls Kissing,2
Wizarding World (Harry Potter),2
hermione granger x reader,2
Lesbian Luna Lovegood,2
Sex Toys,2
Hair - pulling,2
Coming Out,2
Comfort,2
The Golden Trio,2
Light Angst,2
Kissing,2
POV Female Character,2
Post - Hogwarts,2
Veela,2
Love,2
Implied Sexual Content,2
Flirting,2
Albus Dumbledore Bashing,2
Female Reader,2
Oneshot,2
