Fluff,1236
Marauders Era (Harry Potter),1120
wolfstar,989
Angst,737
Marauders,595
Hurt/Comfort,423
Established Relationship,359
Alternate Universe - Modern Setting,359
Fluff and Angst,337
First Kiss,304
Getting Together,294
Gay Sirius Black,287
Friends to Lovers,284
Alternate Universe - Canon Divergence,276
POV Remus Lupin,256
Marauders Friendship (Harry Potter),244
Angst with a Happy Ending,235
Mutual Pining,232
First War with Voldemort,221
Hogwarts,216
Remus Lupin Needs a Hug,213
Alternate Universe - Non - Magical,210
Alternate Universe - Muggle,210
Pining,201
Bisexual Remus Lupin,197
One Shot,196
Alternate Universe,195
Established Sirius Black/Remus Lupin,191
Canon Compliant,188
Anal Sex,185
Romance,182
Smut,180
Slow Burn,176
Werewolf Remus Lupin,166
Light Angst,165
POV Sirius Black,165
none,160
Happy Ending,153
Emotional Hurt/Comfort,151
Gay Remus Lupin,146
Humor,143
Implied/Referenced Child Abuse,141
Coming Out,133
Domestic Fluff,133
Love Confessions,125
Sirius Black &amp; James Potter Friendship,123
Fluff and Smut,117
Drabble,113
Christmas,113
Fluff and Humor,112
Top Remus Lupin,108
Oral Sex,104
Kissing,102
Friendship,98
Minor James Potter/Lily Evans Potter,98
Idiots in Love,96
Angst and Hurt/Comfort,94
Young Remus Lupin,94
Young Sirius Black,92
Boys In Love,91
James Potter is a Good Friend,87
Post - Hogwarts,87
Sirius Black Needs a Hug,84
Post - Sirius Black in Azkaban,84
Plot What Plot/Porn Without Plot,83
Werewolves,80
Love,80
Sirius Black Lives,79
Blow Jobs,79
Sirius Black and Remus Lupin Raise Harry Potter,78
Bottom Sirius Black,78
Anal Fingering,78
Grief/Mourning,75
Alternate Universe - College/University,74
Book 5: Harry Potter and the Order of the Phoenix,72
Remus Lupin Lives,71
Falling In Love,70
Meet - Cute,70
Number Twelve Grimmauld Place,69
Alternate Universe - Everyone Lives/Nobody Dies,67
Remus Lupin &amp; Lily Evans Potter Friendship,67
Gay,66
Tooth - Rotting Fluff,66
Swearing,66
Christmas Fluff,66
Canonical Character Death,65
Dont copy to another site,65
Get Together,64
Depression,64
Flirting,64
Alternate Universe - No Voldemort,61
Rimming,61
Dirty Talk,61
Cute,61
Sad Sirius Black,61
Sharing a Bed,61
Post - First War with Voldemort,59
First Time,59
Order of the Phoenix (Harry Potter),58
Hogwarts Seventh Year,58
Full Moon,57
