Romance,914
Fluff,827
Angst,823
none,708
Severus Snape Lives,646
Alternate Universe - Canon Divergence,570
Hurt/Comfort,495
Smut,485
Slow Burn,451
Alternate Universe,439
Good Severus Snape,399
Established Relationship,348
Anal Sex,337
Humor,332
Severus Snape Has a Heart,317
Bottom Severus Snape,314
Teacher - Student Relationship,300
Post - War,297
Oral Sex,288
Fluff and Angst,282
Harry Potter Epilogue What Epilogue / EWE,280
Marauders Era (Harry Potter),275
Drama,270
Explicit Sexual Content,257
Mpreg,226
Hogwarts,225
Friendship,222
Implied/Referenced Child Abuse,217
One Shot,216
Young Severus Snape,207
Eventual Romance,203
Fluff and Smut,196
Top Severus Snape,193
Time Travel,193
Post - Hogwarts,188
Emotional Hurt/Comfort,186
POV Severus Snape,183
Sex,180
Plot What Plot/Porn Without Plot,175
Love,174
Angst with a Happy Ending,167
Post Traumatic Stress Disorder - PTSD,165
First Time,163
Other Additional Tags to Be Added,162
Manipulative Albus Dumbledore,160
Slash,159
Severitus / Severus Snape is Harry Potters Parent,157
Vaginal Sex,150
Albus Dumbledore Bashing,148
Falling In Love,145
Ron Weasley Bashing,145
Eventual Smut,145
Christmas,143
Rough Sex,139
Domestic Fluff,139
Happy Ending,135
Blow Jobs,135
Drabble,132
AU,129
Masturbation,128
Potions,127
Age Difference,127
Dom/sub,125
Fluff and Humor,123
Friends to Lovers,122
BDSM,120
Mentor Severus Snape,120
Violence,120
Out of Character,120
Character Death,118
Top Harry Potter,117
Drama &amp; Romance,117
Dirty Talk,113
Spanking,112
Female Harry Potter,110
Child Abuse,110
Bullying,108
Anal Fingering,107
Light Angst,105
snarry,105
Lily Evans Potter &amp; Severus Snape Friendship,105
Slow Build,103
Death Eaters,103
Adult Hermione Granger,102
Angst and Hurt/Comfort,102
Canon Compliant,102
Past Child Abuse,98
Dont copy to another site,98
Severus Snape - centric,98
Depression,96
Kissing,95
Torture,94
Bottom Harry Potter,93
Enemies to Friends to Lovers,93
Canonical Character Death,92
Post - Battle of Hogwarts,91
Dubious Consent,91
Not Canon Compliant,91
Alpha/Beta/Omega Dynamics,90
Sexual Content,90
Rape/Non - con Elements,88
