Romance,409
Fluff,404
Angst,333
Severus Snape Lives,328
Smut,308
none,282
Slow Burn,216
Teacher - Student Relationship,166
Harry Potter Epilogue What Epilogue / EWE,157
Hurt/Comfort,145
Severus Snape Has a Heart,144
Eventual Romance,143
Alternate Universe,139
Explicit Sexual Content,139
Oral Sex,138
Post - War,138
Sex,125
Alternate Universe - Canon Divergence,124
Good Severus Snape,120
Fluff and Smut,115
Established Relationship,112
Fluff and Angst,110
Vaginal Sex,109
Hogwarts,104
Drama,98
One Shot,94
Eventual Smut,93
Adult Hermione Granger,90
Friendship,90
Love,89
Humor,89
Post - Hogwarts,80
Time Travel,78
Falling In Love,76
Marauders Era (Harry Potter),74
POV Severus Snape,71
Emotional Hurt/Comfort,71
Plot What Plot/Porn Without Plot,70
Drama &amp; Romance,66
Angst with a Happy Ending,66
Vaginal Fingering,66
Young Severus Snape,64
Happy Ending,63
Friends to Lovers,62
Rough Sex,60
Christmas,59
Domestic Fluff,58
Pregnancy,55
Potions,55
Drabble,55
Reader - Insert,53
Female Harry Potter,52
Post Traumatic Stress Disorder - PTSD,52
Age Difference,49
Masturbation,48
Death Eaters,48
Light Angst,47
AU,46
Angst and Hurt/Comfort,46
First Time,44
Cunnilingus,43
snamione,43
Character Death,42
Dirty Talk,42
Violence,41
Slow Build,41
Shameless Smut,41
Mutual Pining,41
Unrequited Love,41
Slow Romance,40
Implied/Referenced Child Abuse,38
Secret Relationship,37
Ron Weasley Bashing,35
Sexual Content,35
Discord: Hearts &amp; Cauldrons SSHG Server,35
Lily Evans Potter &amp; Severus Snape Friendship,35
Severus Snape - centric,35
BDSM,35
Sexual Tension,34
Slice of Life,34
Dom/sub,34
Explicit Language,33
Spanking,33
Dubious Consent,33
Post - Battle of Hogwarts,33
Enemies to Lovers,33
Porn With Plot,32
Romantic Fluff,32
Time Turner (Harry Potter),32
Rose0Jams Snapril Prompts 2021,32
Magic,32
Christmas Fluff,32
Kissing,32
Fluff and Humor,31
Love Confessions,31
Original Character(s),31
Older Man/Younger Woman,31
Severus Snape - Freeform,31
Canonical Character Death,30
Other Additional Tags to Be Added,30
Not Canon Compliant,30
