Romance,383
none,301
Anal Sex,256
Angst,241
Fluff,223
Bottom Severus Snape,217
Established Relationship,201
Severus Snape Lives,175
Humor,173
Hurt/Comfort,171
Alternate Universe,164
Alternate Universe - Canon Divergence,159
Top Severus Snape,134
Mpreg,133
Slow Burn,118
Slash,113
Post - War,108
First Time,106
Drama,106
Smut,103
Oral Sex,95
Marauders Era (Harry Potter),90
Post - Hogwarts,88
Fluff and Angst,86
Blow Jobs,86
Plot What Plot/Porn Without Plot,84
Top Harry Potter,84
Harry Potter Epilogue What Epilogue / EWE,83
Teacher - Student Relationship,81
Out of Character,77
snarry,76
Good Severus Snape,74
Anal Fingering,74
Getting Together,73
Bottom Harry Potter,67
Explicit Sexual Content,66
Severus Snape Has a Heart,65
Angst with a Happy Ending,60
One Shot,60
Dom/sub,59
Post Traumatic Stress Disorder - PTSD,58
Alpha/Beta/Omega Dynamics,58
Dirty Talk,54
Emotional Hurt/Comfort,54
Other Additional Tags to Be Added,53
Rimming,53
Male Slash,52
Implied/Referenced Child Abuse,52
Hogwarts,52
Gay Sex,51
Age Difference,51
Dont copy to another site,51
BDSM,50
Domestic Fluff,50
Masturbation,50
Young Severus Snape,50
Fluff and Humor,50
Fluff and Smut,49
Rough Sex,49
Dubious Consent,49
Post - Canon,48
Drabble,48
Christmas,48
Happy Ending,47
POV Severus Snape,46
Bottom Harry,46
Time Travel,46
Pre - Slash,46
Hand Jobs,45
Enemies to Friends to Lovers,44
Art,44
First Kiss,42
Spanking,41
Underage Sex,41
Kissing,41
Albus Dumbledore Bashing,39
Auror Harry Potter,39
Violence,38
Soulmates,38
Falling In Love,37
Enemies to Lovers,37
Pining,37
AU,37
Crack,37
Light Angst,36
Manipulative Albus Dumbledore,36
hpss,36
Not Canon Compliant,35
Sexual Content,35
哈斯,35
Depression,34
Post - Battle of Hogwarts,34
Alternate Universe - Non - Magical,34
Complete,34
Bullying,33
Potions,33
Rape/Non - con Elements,33
Fanart,33
Love,33
Rape,32
Fandom Kombat 2020,32
