Marauders Era (Harry Potter),195
Fluff,138
none,129
Romance,109
Angst,109
Marauders,105
Sirius Black Lives,82
Smut,64
Young Sirius Black,64
Slow Burn,62
Time Travel,58
Alternate Universe - Canon Divergence,57
Fluff and Angst,49
Friends to Lovers,46
Marauders Friendship (Harry Potter),45
Friendship,40
blackinnon,38
Fluff and Smut,35
Alternate Universe,35
Hogwarts,34
First War with Voldemort,31
Hurt/Comfort,30
Humor,30
Love,29
One Shot,28
Reader - Insert,27
Explicit Sexual Content,26
Alternate Universe - Muggle,26
Cousin Incest,26
Post - Hogwarts,24
Post - Sirius Black in Azkaban,23
Age Difference,23
Falling In Love,22
Eventual Smut,22
The Noble and Most Ancient House of Black,22
Light Angst,22
Drama,22
Eventual Romance,21
Sirius Black &amp; James Potter Friendship,21
POV Sirius Black,21
Emotional Hurt/Comfort,20
Harry Potter Epilogue What Epilogue / EWE,20
Order of the Phoenix (Harry Potter),20
Fluff and Humor,20
Animagus,20
Oral Sex,20
Porn With Plot,19
Angst with a Happy Ending,19
Mutual Pining,19
Flirting,19
Blackinnon Week 2020,19
Swearing,18
Enemies to Friends to Lovers,18
Sex,18
Friends With Benefits,17
Death Eaters,17
Enemies to Lovers,17
Older Man/Younger Woman,17
Romantic Fluff,17
Canon Compliant,17
Character Death,17
Established Relationship,17
Vaginal Fingering,17
Shameless Smut,16
Explicit Language,16
Implied/Referenced Child Abuse,16
Pureblood Culture (Harry Potter),16
Original Character(s),16
Not Canon Compliant,16
Violence,15
Quidditch,15
Post - War,15
Plot What Plot/Porn Without Plot,15
War,14
Marauders Era,14
Canonical Character Death,14
Alcohol,14
BAMF Hermione Granger,14
Black Family - centric (Harry Potter),14
Gryffindor,13
Sexual Tension,13
Alternate Universe - Time Travel,13
Magic,13
Friendship/Love,13
Drabble,13
Tooth - Rotting Fluff,13
Book 5: Harry Potter and the Order of the Phoenix,13
Sirius Black Free from Azkaban,13
Blackinnon Week,13
Drama &amp; Romance,12
Kissing,12
Pining,12
AU,12
Idiots in Love,12
Vaginal Sex,12
Jealousy,12
Porn with Feelings,12
Time Travel Fix - It,12
Love Confessions,12
Arranged Marriage,12
Sexual Content,11
