Time Travel,119
Angst,102
Possessive Tom Riddle,94
Smut,82
Manipulative Tom Riddle,72
Slow Burn,70
Alternate Universe - Canon Divergence,69
Young Tom Riddle,67
Explicit Sexual Content,64
Alternate Universe,63
Romance,57
Female Harry Potter,55
tomione - Freeform,53
Sane Tom Riddle,52
none,47
Dark Magic,43
Hogwarts,42
Dark,40
Emotional Manipulation,39
Tom Riddle is His Own Warning,39
Teenage Tom Riddle,38
Possessive Behavior,37
Fluff,36
Rough Sex,35
1940s,34
Violence,34
Oral Sex,33
Tom Riddle is Not Voldemort,33
Horcruxes,32
Eventual Romance,31
Alternate Universe - Time Travel,31
POV Tom Riddle,30
Manipulation,30
Eventual Smut,30
Unhealthy Relationships,29
Enemies to Lovers,29
Murder,28
Dubious Consent,28
Vaginal Sex,27
Good Tom Riddle,27
BAMF Hermione Granger,26
Hurt/Comfort,26
Dark Hermione Granger,26
Vaginal Fingering,25
Drama,24
Death Eaters,23
Sex,23
Alternate Universe - Muggle,23
Teacher - Student Relationship,21
Pureblood Politics (Harry Potter),21
Choking,21
POV Hermione Granger,21
Alternate Universe - Modern Setting,20
Explicit Language,20
Fluff and Angst,20
Obsession,19
Minor Character Death,19
Age Difference,19
Slytherin,19
Character Death,18
Shameless Smut,18
One Shot,18
Masturbation,18
Riddle at Hogwarts Era,17
Tom Riddles Diary,17
Soulmates,17
Loss of Virginity,17
Death,16
Pureblood Culture (Harry Potter),16
Torture,16
Alternate Universe - Soulmates,16
Dark Harry Potter,16
Love,15
Professor Tom Riddle,15
Canon - Typical Violence,15
Falling In Love,15
AU,15
Cunnilingus,15
Manipulative Albus Dumbledore,15
Slytherin Hermione Granger,15
Other Additional Tags to Be Added,14
BDSM,14
Power Dynamics,14
Dead Dove: Do Not Eat,14
World War II,14
Not Canon Compliant,14
Magic,14
Fluff and Smut,14
Time Turner (Harry Potter),14
Hermione Granger - centric,14
Rape/Non - con Elements,14
Drabble,14
Emotional/Psychological Abuse,13
Slytherin Harry Potter,13
Time Travel Fix - It,13
Wools Orphanage (Harry Potter),13
Mental Health Issues,13
Albus Dumbledore Bashing,13
Top Tom Riddle,13
Dom Tom Riddle,13
Spanking,13
