Fluff,199
Time Travel,167
Possessive Tom Riddle,145
Romance,137
Angst,126
Sane Tom Riddle,120
Alternate Universe,118
Slow Burn,101
Alternate Universe - Canon Divergence,97
none,90
Alternate Universe - Modern Setting,88
Established Relationship,76
Master of Death Harry Potter,69
Other Additional Tags to Be Added,67
Harry Potter &amp; Tom Riddle Attend Hogwarts Together,67
Humor,66
Alternate Universe - Muggle,60
Young Tom Riddle,56
Mpreg,56
Good Tom Riddle,53
Fluff and Humor,51
Hurt/Comfort,51
Possessive Behavior,50
Dark Harry,50
Anal Sex,49
Soulmates,47
Slytherin Harry Potter,46
Alternate Universe - Non - Magical,46
Alpha/Beta/Omega Dynamics,46
Manipulative Tom Riddle,45
Unhealthy Relationships,45
Crack,44
Tom Riddle is Not Voldemort,43
Dark Harry Potter,43
Tom Riddle is His Own Warning,43
Alternate Universe - Time Travel,41
Horcruxes,41
tomarry - Freeform,40
Implied/Referenced Child Abuse,39
Fluff and Angst,39
Power Dynamics,38
POV Tom Riddle,37
Albus Dumbledore Bashing,36
Smut,36
Murder,35
Dubious Consent,35
Minor Character Death,34
Falling In Love,34
Alternate Universe - No Voldemort,34
Sexual Tension,33
Alpha Tom Riddle,33
Omega Harry Potter,33
One Shot,32
Emotional Hurt/Comfort,32
Age Difference,32
Dom/sub Undertones,32
Drama,31
Violence,30
Manipulative Albus Dumbledore,30
Morally Grey Harry Potter,30
Enemies to Lovers,30
Explicit Sexual Content,30
Top Tom Riddle,29
Alternate Universe - Soulmates,29
Character Study,29
Love,29
Hogwarts,29
Obsession,29
Enemies to Friends to Lovers,28
Time Travel Fix - It,28
Slash,28
Manipulation,27
Soul Bond,27
Dont copy to another site,27
Emotional Manipulation,26
Teenage Tom Riddle,25
Character Death,25
Eventual Romance,25
Obsessive Tom Riddle,25
Alternate Universe - College/University,24
Crack Treated Seriously,24
Light Angst,24
Tooth - Rotting Fluff,23
Not Beta Read,23
Dark,23
Bottom Tom Riddle,23
Cute,22
Idiots in Love,22
Powerful Harry,22
Do not repost,22
Alternate Timelines,22
Attempt at Humor,22
Eventual Smut,21
1940s,21
Domestic Fluff,21
Sane Voldemort (Harry Potter),21
no beta we die like men,21
Angst with a Happy Ending,21
Not Canon Compliant,21
Rough Sex,21
Teasing,21
