Alternate Universe - Canon Divergence,272
Angst,165
Fluff,145
Romance,141
Time Travel,137
Alternate Universe,129
Slow Burn,122
Possessive Tom Riddle,115
Sane Voldemort (Harry Potter),112
none,112
Master of Death Harry Potter,109
Crack,108
Humor,104
Horcruxes,104
Sane Tom Riddle,102
Alternate Universe - Voldemort Wins,102
Dark Harry Potter,100
Albus Dumbledore Bashing,100
Female Harry Potter,94
Manipulative Albus Dumbledore,93
Dark Harry,90
Harry Potter is a Horcrux,90
Other Additional Tags to Be Added,89
Implied/Referenced Child Abuse,79
Crack Treated Seriously,76
Slytherin Harry Potter,75
Torture,71
Morally Grey Harry Potter,68
Magically Powerful Harry Potter,62
Possessive Voldemort (Harry Potter),60
Soulmates,59
Smut,59
Mpreg,59
Dark Magic,57
Dubious Consent,57
Anal Sex,57
Possessive Behavior,56
Drama,55
Murder,53
Ron Weasley Bashing,50
Alternate Universe - Soulmates,50
Hurt/Comfort,48
Minor Character Death,47
Not Beta Read,46
Dont copy to another site,46
Violence,45
Established Relationship,44
One Shot,43
Soul Bond,42
Alternate Universe - Time Travel,41
Dark,41
Young Tom Riddle,39
Explicit Sexual Content,39
POV Tom Riddle,39
Top Voldemort (Harry Potter),39
Alternate Universe - Modern Setting,39
Manipulation,38
Molly Weasley Bashing,38
Bottom Harry Potter,37
Soulmate - Identifying Marks,37
Ginny Weasley Bashing,36
Pre - Slash,36
Age Difference,36
Unhealthy Relationships,36
Character Death,35
Friendship,35
Tom Riddle is His Own Warning,34
Slash,34
Manipulative Tom Riddle,34
Politics,33
Plot What Plot/Porn Without Plot,33
Smart Harry Potter,32
Happy Ending,32
Fluff and Angst,31
BAMF Harry Potter,31
Top Tom Riddle,31
Not Canon Compliant,31
Child Abuse,31
Parseltongue,31
Eventual Smut,30
Hermione Granger Bashing,30
Death Eaters,30
Oral Sex,30
Bottom Harry,30
Emotional Manipulation,30
Obsession,29
Enemies to Lovers,29
Professor Tom Riddle,28
BDSM,28
Pureblood Culture (Harry Potter),27
Angst with a Happy Ending,27
Stockholm Syndrome,27
Time Travel Fix - It,27
Emotional Hurt/Comfort,27
Powerful Harry,26
Eventual Romance,26
Implied/Referenced Rape/Non - con,26
Mentor Voldemort (Harry Potter),26
Fluff and Humor,26
Obsessive Tom Riddle,26
Suicidal Thoughts,26
