Anal Sex,48
Alternate Universe - Canon Divergence,46
Smut,46
Dubious Consent,40
Possessive Tom Riddle,39
Explicit Sexual Content,34
Romance,32
Angst,31
Alternate Universe - Voldemort Wins,31
Alternate Universe,30
Plot What Plot/Porn Without Plot,28
Sane Voldemort (Harry Potter),27
Oral Sex,27
Torture,26
Time Travel,25
Bottom Harry Potter,25
Horcruxes,24
Mpreg,24
Rape/Non - con Elements,22
Female Harry Potter,22
Murder,21
Top Voldemort (Harry Potter),21
Anal Fingering,21
none,21
Sane Tom Riddle,20
Other Additional Tags to Be Added,20
Dark Harry Potter,19
Possessive Voldemort (Harry Potter),19
Slow Burn,19
Age Difference,19
Possessive Behavior,19
Rough Sex,19
Violence,19
Soul Bond,19
BDSM,19
Magically Powerful Harry Potter,19
Albus Dumbledore Bashing,18
Dark Harry,17
Harry Potter is a Horcrux,17
Top Tom Riddle,17
Eventual Smut,17
Manipulative Albus Dumbledore,17
Extremely Dubious Consent,16
Fluff,16
First Time,16
Dark,16
Bottom Harry,16
Humor,16
Minor Character Death,16
Master of Death Harry Potter,15
Morally Grey Harry Potter,15
Implied/Referenced Child Abuse,15
Dead Dove: Do Not Eat,15
Rimming,14
Slash,14
Master/Pet,14
Manipulative Tom Riddle,14
Manipulation,13
Dom/sub,13
Bondage,13
Mildly Dubious Consent,13
Gratuitously Hot Voldemort,13
Bottom Tom Riddle,12
Loss of Virginity,12
Do not repost,12
Masturbation,12
Underage Sex,12
Blow Jobs,12
Drama,12
Soulmates,12
Blood and Gore,12
Top Harry Potter,11
Fluff and Smut,11
Stockholm Syndrome,11
Tom Riddle is His Own Warning,11
Hurt/Comfort,11
Dark Magic,11
Character Death,11
Obsession,11
Cannibalism,11
Crack Treated Seriously,11
Kidnapping,11
Dirty Talk,11
Established Relationship,10
Porn With Plot,10
Dom/sub Undertones,10
Pureblood Culture (Harry Potter),10
Somnophilia,10
Size Kink,10
Spanking,10
Humiliation,10
Praise Kink,10
Overstimulation,10
Orgasm Delay/Denial,10
Threesome - M/M/M,10
Alpha/Beta/Omega Dynamics,10
Sex Toys,10
Voyeurism,9
Smart Harry Potter,9
Infidelity,9
Hand Jobs,9
