Alternate Universe - Canon Divergence,126
Angst,85
Fluff,82
Romance,82
Alternate Universe,68
Humor,65
Time Travel,62
Sane Voldemort (Harry Potter),60
Slow Burn,60
none,60
Alternate Universe - Voldemort Wins,59
Crack,58
Dark Harry Potter,54
Possessive Tom Riddle,54
Dark Harry,51
Master of Death Harry Potter,49
Sane Tom Riddle,47
Smut,46
Horcruxes,44
Crack Treated Seriously,44
Harry Potter is a Horcrux,43
Anal Sex,43
Mpreg,40
Other Additional Tags to Be Added,39
Established Relationship,36
Soulmates,36
Implied/Referenced Child Abuse,35
Dubious Consent,34
Albus Dumbledore Bashing,31
Possessive Behavior,31
Not Beta Read,30
Murder,30
Alternate Universe - Modern Setting,30
Manipulative Albus Dumbledore,30
Alternate Universe - Soulmates,29
Plot What Plot/Porn Without Plot,29
One Shot,29
POV Tom Riddle,28
Morally Grey Harry Potter,28
Possessive Voldemort (Harry Potter),28
Magically Powerful Harry Potter,27
Age Difference,27
Torture,27
Hurt/Comfort,26
Slytherin Harry Potter,26
Drama,26
Soul Bond,25
Happy Ending,25
Minor Character Death,25
Bottom Harry Potter,24
Top Voldemort (Harry Potter),24
Explicit Sexual Content,23
Violence,23
Dark Magic,22
Dark,22
Dont copy to another site,22
Pre - Slash,21
Alternate Universe - Time Travel,21
Slash,21
Enemies to Lovers,20
Top Tom Riddle,20
POV Harry Potter,20
tomarry - Freeform,19
Stockholm Syndrome,19
Not Canon Compliant,19
Fluff and Humor,19
Bottom Harry,19
Oral Sex,19
Manipulation,18
Anal Fingering,18
Tooth - Rotting Fluff,18
Bottom Tom Riddle,17
Unhealthy Relationships,17
Eventual Smut,17
Suicidal Thoughts,17
Fluff and Angst,17
Unreliable Narrator,17
Angst with a Happy Ending,17
Manipulative Tom Riddle,17
Emotional Manipulation,17
Emotional Hurt/Comfort,17
中文翻译 / Translation in Chinese,17
Dom/sub Undertones,16
Politics,16
Young Tom Riddle,16
Soulmate - Identifying Marks,16
Kidnapping,16
Tom Riddle is His Own Warning,15
Obsessive Tom Riddle,15
Romantic Fluff,15
Rough Sex,15
Obsession,15
Cannibalism,15
Obsessive Behavior,15
Gratuitously Hot Voldemort,15
Top Harry Potter,14
Kissing,14
Alternate Universe - Non - Magical,14
Rape/Non - con Elements,14
BAMF Harry Potter,14
Smart Harry Potter,14
