Female Harry Potter,25
Crossover,17
Alternate Universe - Hogwarts,14
Alternate Universe - Harry Potter Setting,13
Genderbend,12
Fluff,12
Angst,11
Romance,10
Alternate Universe,10
Alternate Universe - Canon Divergence,8
Harry Potter Has Sky Flames,7
Master of Death Harry Potter,7
Friendship,7
Humor,7
Dying Will Flames (Katekyou Hitman Reborn!),6
BAMF Skull (Katekyou Hitman Reborn!),6
Dont copy to another site,6
Magic,6
BAMF Harry Potter,5
Hurt/Comfort,5
Implied/Referenced Child Abuse,5
Other Additional Tags to Be Added,5
Crossover Pairings,5
Fem!Harry,4
Canon - Typical Violence,4
Post - Canon,4
Soulmates,4
Hogwarts,4
Slow Burn,4
Plot What Plot/Porn Without Plot,4
Harry Potter is Skull (Katekyou Hitman Reborn!),4
Flame Harmonization (Katekyou Hitman Reborn!),4
Time Travel,4
Ron Weasley Bashing,3
none,3
Implied Mpreg,3
Quidditch,3
One Shot,3
Pre - Slash,3
Drabble,3
Fluff and Angst,3
Family,3
flames,3
Do not repost,3
Crack Treated Seriously,3
I Dont Even Know,3
Flirting,3
Oneshot,3
Light Angst,3
Not Beta Read,3
Cross - Posted on FanFiction.Net,3
Selfcest,3
DO NOT COPY,3
Harry Potter Epilogue What Epilogue / EWE,2
Albus Dumbledore Bashing,2
Manipulative Albus Dumbledore,2
Alternate Universe - Fantasy,2
POV Alternating,2
Minor Character Death,2
Injury,2
Identity Reveal,2
Werewolves,2
Friends to Lovers,2
Pre - Canon,2
Background Relationships,2
Genderbending,2
Out of Character,2
Reincarnation,2
Adult Arcobaleno (Katekyou Hitman Reborn!),2
Pre - Relationship,2
Character Death,2
Fluff and Smut,2
Post Traumatic Stress Disorder - PTSD,2
The Author Regrets Nothing,2
Drama,2
Depression,2
Harry Potter AU,2
Alternate Universe - Magic,2
Child Abuse,2
Auror Harry Potter,2
Digital Art,2
Skull (Katekyou Hitman Reborn!) - centric,2
Female Skull (Katekyou Hitman Reborn!),2
The Author Regrets Everything,2
Short Chapters,2
Перевод на русский / Translation in Russian,2
Immortal Harry Potter,2
Dont repost,2
do not copy to another site,2
Threesome,2
POV Multiple,2
slytherin!jennie,2
hufflepuff!chaeyoung,2
Jealousy,2
Dialogue Heavy,2
Harry Potter - Freeform,2
Nonbinary Mammon / Viper,2
Arcobaleno (Katekyou Hitman Reborn!) As Family,2
Some Plot,2
Hijinks &amp; Shenanigans,2
Tooth - Rotting Fluff,2
