Female Harry Potter,33
Female Draco Malfoy,16
Alternate Universe,12
Romance,11
Alternate Universe - Canon Divergence,10
Alternate Universe - Gender Changes,10
Fluff,9
Fluff and Angst,8
Angst,8
性转德,8
none,7
Smut,6
Slytherin Harry Potter,6
Slow Burn,6
Genderbending,6
Hurt/Comfort,5
Established Relationship,5
Friends to Lovers,5
Alternate Universe - No Voldemort,5
Plot What Plot/Porn Without Plot,5
Good Draco Malfoy,4
Trans Draco Malfoy,4
Female Harry,4
Daddy Kink,4
Alpha/Beta/Omega Dynamics,3
Pining Draco Malfoy,3
Pureblood Culture (Harry Potter),3
Veela Harry Potter,3
Hogwarts Eighth Year,3
Cross - Posted on FanFiction.Net,3
Alternate Universe - Regency,3
Drarry,3
Pining,3
Oral Sex,3
Explicit Sexual Content,3
Ron Weasley is a Good Friend,3
Violence,3
Auror Partners,3
Fem!Harry,3
Auror Harry Potter,3
Genderswap,3
Love,2
Omega Harry Potter,2
Pregnancy,2
Marriage,2
Mating Bond,2
Mating Cycles/In Heat,2
Adventure,2
Harry Potter Has a Sibling,2
Hogwarts Seventh Year,2
Draco Malfoy is a Good Boyfriend,2
Happy Ending,2
Post - War,2
Good Slytherins,2
Trans Female Draco Malfoy,2
Trans Female Character,2
Gender Dysphoria,2
Identity Issues,2
Light Angst,2
Angst with a Happy Ending,2
Harry Potter Epilogue What Epilogue / EWE,2
pseudo - regency anyway,2
Alternate Universe - Historical,2
Fluff and Smut,2
Hogwarts Fifth Year,2
Friendship,2
The Golden Trio,2
Humor,2
Revenge,2
Cunnilingus,2
Rough Sex,2
Manipulative Albus Dumbledore,2
One Shot,2
War,2
Enemies to Friends to Lovers,2
Kinda,2
Harry Potter Raises Teddy Lupin,2
Redeemed Draco Malfoy,2
POV Draco Malfoy,2
Draco Malfoy is a Tease,2
Light BDSM,2
Battle of Hogwarts,2
Ship,2
harryxdraco - Freeform,2
Harriette,2
AU,2
Hogwarts,2
Original Character(s),2
Anal Sex,2
Love Confessions,2
Threesome - F/M/M,2
POV Alternating,2
Epistolary,2
Alternate Universe - Modern Setting,2
Girl - Who - Lived (Harry Potter),2
Past Child Abuse,2
Oblivious Harry,2
Ravenclaw Hermione Granger,2
Harry Potter is a Little Shit,2
Other Additional Tags to Be Added,2
Rule 63,2
