Smut,512
Explicit Sexual Content,379
Harry Potter Epilogue What Epilogue / EWE,323
Angst,215
Oral Sex,204
Romance,182
Fluff and Smut,179
Plot What Plot/Porn Without Plot,163
Post - War,155
Hogwarts Eighth Year,155
Fluff,154
Slow Burn,149
Post - Hogwarts,136
Shameless Smut,132
Dirty Talk,121
dramione - Freeform,120
Eventual Smut,119
POV Draco Malfoy,116
POV Hermione Granger,112
Enemies to Lovers,108
Porn With Plot,104
Explicit Language,101
Sex,101
Rough Sex,98
Vaginal Sex,98
Alternate Universe - Canon Divergence,98
Praise Kink,97
Vaginal Fingering,85
Established Relationship,83
Mutual Pining,80
Hurt/Comfort,80
Post Traumatic Stress Disorder - PTSD,75
Cunnilingus,75
Porn with Feelings,74
Eventual Romance,73
Voyeurism,73
Threesome - F/M/M,68
Angst with a Happy Ending,67
Light Dom/sub,65
Head Girl Hermione Granger,62
Semi - Public Sex,61
Violence,60
Masturbation,60
Secret Relationship,58
Spanking,57
Fluff and Angst,56
Pining Draco Malfoy,56
Head Boy Draco Malfoy,56
Auror Draco Malfoy,55
One Shot,54
Humor,53
Pining,53
Friends to Lovers,52
Drama,52
none,52
Co - workers,51
BDSM,51
Sexual Content,51
Enemies to Friends to Lovers,51
Rape/Non - con Elements,51
Sexual Tension,50
Minor Character Death,50
Post - Battle of Hogwarts,50
Ron Weasley Bashing,49
Ministry of Magic Employee Hermione Granger,49
Redeemed Draco Malfoy,49
Character Death,49
Blow Jobs,49
Dubious Consent,48
Anal Sex,48
Good Draco Malfoy,44
Adult Hermione Granger,44
Alternate Universe - Voldemort Wins,43
Light BDSM,41
Dark,41
Dom/sub,41
Alternate Universe,41
Light Bondage,39
War,38
Dom Draco Malfoy,38
Hogwarts,38
PWP,37
Possessive Draco Malfoy,36
Infidelity,36
Torture,36
Gratuitous Smut,36
BAMF Hermione Granger,35
Idiots in Love,35
Banter,35
Flashbacks,35
Falling In Love,34
Slow Build,34
Light Angst,34
Not Epilogue Compliant,34
Happy Ending,33
Past Hermione Granger/Ron Weasley,33
Mental Health Issues,33
Love,33
Death Eater Draco Malfoy,32
Sub Hermione Granger,32
Exhibitionism,32
