Smut,104
Explicit Sexual Content,81
Oral Sex,62
Fluff and Smut,46
Friends to Lovers,43
Romance,42
Plot What Plot/Porn Without Plot,39
Anal Sex,36
Threesome - F/M/M,33
Angst,30
Vaginal Sex,30
Fluff,30
Blow Jobs,27
Harry Potter Epilogue What Epilogue / EWE,27
Porn With Plot,25
Cunnilingus,24
Porn with Feelings,24
Masturbation,24
Vaginal Fingering,24
Alternate Universe,23
Shameless Smut,23
Explicit Language,22
Dirty Talk,22
Voyeurism,20
Alternate Universe - Canon Divergence,19
Sex,19
Rough Sex,18
Polyamory,18
Post - Hogwarts,18
Threesome - F/F/M,17
First Time,16
Exhibitionism,16
Ron Weasley Bashing,15
Praise Kink,15
none,15
Post - War,15
BDSM,14
Triad - Freeform,14
Hand Jobs,14
Come Swallowing,13
Established Relationship,13
Light Dom/sub,12
Eventual Smut,12
Shower Sex,12
Creampie,12
Harmony - Freeform,12
Other Additional Tags to Be Added,11
Spanking,11
Loss of Virginity,11
Molly Weasley Bashing,10
Female Harry Potter,10
Hurt/Comfort,10
Anal Fingering,10
Friends With Benefits,10
Dom/sub,10
Dubious Consent,10
Auror Harry Potter,10
Dark,9
Not Epilogue Compliant,9
Albus Dumbledore Bashing,9
Public Sex,9
BAMF Harry Potter,9
Harems,9
Double Penetration,9
Drama,9
Mutual Pining,9
Rape/Non - con Elements,8
Post Traumatic Stress Disorder - PTSD,8
BAMF Hermione Granger,8
Sex Toys,8
Pregnancy,8
Facials,8
Infidelity,8
Dark Harry Potter,8
Semi - Public Sex,8
Cheating,8
Angst with a Happy Ending,7
Violence,7
Manipulative Albus Dumbledore,7
Mutual Masturbation,7
Light Bondage,7
Embedded Images,7
Slow Burn,7
Incest,7
Threesome,7
Lesbian Sex,7
Bondage,7
Sex Magic,7
Humor,7
Pining,7
Sexual Content,7
Love,7
Christmas Fluff,7
Futanari,7
Adult Hermione Granger,7
PWP,7
Harmony &amp; Cos The Harmony Shag - A - Thon,7
Language,7
Book 7: Harry Potter and the Deathly Hallows,6
Torture,6
Ginny Weasley Bashing,6
