Romance,307
none,237
Angst,235
Alternate Universe - Canon Divergence,221
Anal Sex,195
Hurt/Comfort,194
Fluff,189
Bottom Severus Snape,168
Humor,165
Severus Snape Lives,163
Established Relationship,160
Alternate Universe,156
Good Severus Snape,149
Top Severus Snape,128
Slow Burn,126
Mpreg,125
Top Harry Potter,114
Slash,113
Implied/Referenced Child Abuse,110
snarry,104
Teacher - Student Relationship,99
Post - War,98
Female Harry Potter,96
Severitus / Severus Snape is Harry Potters Parent,95
First Time,90
Bottom Harry Potter,88
Harry Potter Epilogue What Epilogue / EWE,86
Ron Weasley Bashing,86
Manipulative Albus Dumbledore,85
Severus Snape Has a Heart,83
Drama,81
Post - Hogwarts,79
Albus Dumbledore Bashing,79
Mentor Severus Snape,76
Oral Sex,70
Blow Jobs,70
Out of Character,67
Fluff and Angst,67
Explicit Sexual Content,66
Getting Together,65
Hermione Granger Bashing,65
Post Traumatic Stress Disorder - PTSD,64
Pre - Slash,64
Smut,62
Time Travel,61
Anal Fingering,61
Emotional Hurt/Comfort,60
Ginny Weasley Bashing,58
Other Additional Tags to Be Added,58
BDSM,57
Angst with a Happy Ending,56
Slytherin Harry Potter,55
POV Harry Potter,55
Dom/sub,53
Severus Snape Adopts Harry Potter,53
Rimming,53
Bottom Harry,51
Child Abuse,50
Spanking,50
Soulmates,49
Plot What Plot/Porn Without Plot,49
Past Child Abuse,47
Christmas,47
Alternate Universe - Non - Magical,46
Molly Weasley Bashing,45
POV Severus Snape,45
Age Difference,45
Alpha/Beta/Omega Dynamics,44
Domestic Fluff,44
Masturbation,44
Underage Sex,44
Fluff and Smut,44
Hogwarts,43
Auror Harry Potter,43
Dont copy to another site,43
Art,43
Falling In Love,42
Happy Ending,42
Dirty Talk,41
Drabble,41
Creature Fic,40
Fluff and Humor,38
Hogwarts Eighth Year,38
Rough Sex,38
One Shot,38
hpss,38
Friendship,37
Slow Build,37
哈斯,37
Male Slash,36
Depression,36
Professor Harry Potter,36
Hand Jobs,36
Complete,36
Light Angst,35
Dubious Consent,35
Evil Albus Dumbledore,34
Violence,33
Abusive Dursley Family (Harry Potter),33
Powerful Harry,33
Rape/Non - con Elements,33
