Romance,282
none,187
Anal Sex,164
Angst,146
Established Relationship,143
Humor,134
Fluff,129
Bottom Severus Snape,124
Hurt/Comfort,115
Severus Snape Lives,115
Alternate Universe,103
Top Severus Snape,95
Slash,83
Top Harry Potter,83
Slow Burn,82
First Time,80
snarry,76
Mpreg,76
Post - War,75
Alternate Universe - Canon Divergence,75
Harry Potter Epilogue What Epilogue / EWE,73
Teacher - Student Relationship,72
Post - Hogwarts,71
Drama,67
Bottom Harry Potter,65
Blow Jobs,62
Getting Together,58
Oral Sex,57
Out of Character,57
Anal Fingering,49
Smut,49
Explicit Sexual Content,48
Bottom Harry,45
Fluff and Angst,43
BDSM,41
Dom/sub,40
Post Traumatic Stress Disorder - PTSD,40
Plot What Plot/Porn Without Plot,40
Age Difference,39
Art,39
Pre - Slash,38
Rimming,38
Auror Harry Potter,38
Fluff and Smut,37
Dont copy to another site,36
hpss,36
Underage Sex,35
Emotional Hurt/Comfort,35
哈斯,35
Angst with a Happy Ending,34
Time Travel,34
Soulmates,34
Severus Snape Has a Heart,34
Hand Jobs,33
Christmas,33
Dirty Talk,32
Spanking,32
Hogwarts,32
Drabble,32
Domestic Fluff,31
Falling In Love,31
Professor Harry Potter,31
Happy Ending,31
Complete,31
Dubious Consent,30
Alpha/Beta/Omega Dynamics,30
Snarry - A - Thon20,30
Rough Sex,29
Masturbation,29
Good Severus Snape,29
Other Additional Tags to Be Added,29
POV Harry Potter,27
Aftercare,27
Implied/Referenced Child Abuse,26
Hogwarts Eighth Year,26
POV Severus Snape,26
Alternate Universe - Non - Magical,26
Male Slash,25
First Kiss,25
Light Angst,25
Top Harry,25
One Shot,25
Pining,25
Secret Snarry Swap 2019,25
Fluff and Humor,24
Crack,24
Depression,23
Ron Weasley Bashing,23
Ficlet,23
Fandom Kombat 2020,23
Manipulative Albus Dumbledore,22
AU,22
Creature Fic,22
Ginny Weasley Bashing,22
Перевод на русский / Translation in Russian,22
Praise Kink,22
Potions,21
Slow Build,21
Post - Canon,21
Gay Sex,21
Albus Dumbledore Bashing,21
