Time Travel,272
Fluff,246
Possessive Tom Riddle,196
Alternate Universe - Canon Divergence,186
Sane Tom Riddle,183
Angst,180
Alternate Universe,163
Slow Burn,163
Romance,163
Master of Death Harry Potter,129
Female Harry Potter,114
Alternate Universe - Modern Setting,109
Other Additional Tags to Be Added,100
Slytherin Harry Potter,93
Humor,91
Dark Harry,87
Harry Potter &amp; Tom Riddle Attend Hogwarts Together,85
Young Tom Riddle,84
Good Tom Riddle,83
Established Relationship,80
Dark Harry Potter,77
Horcruxes,77
none,76
Alternate Universe - Time Travel,74
Possessive Behavior,70
Soulmates,69
Hurt/Comfort,67
Manipulative Tom Riddle,67
Alternate Universe - Muggle,66
Implied/Referenced Child Abuse,65
Albus Dumbledore Bashing,64
Tom Riddle is Not Voldemort,63
Morally Grey Harry Potter,63
Mpreg,63
Manipulative Albus Dumbledore,60
Alternate Universe - Non - Magical,60
Fluff and Humor,58
Crack,57
Unhealthy Relationships,56
Alpha/Beta/Omega Dynamics,56
Alternate Universe - Soulmates,53
Enemies to Friends to Lovers,51
tomarry - Freeform,50
Fluff and Angst,50
Tom Riddle is His Own Warning,49
Anal Sex,49
POV Tom Riddle,48
Murder,48
Dont copy to another site,44
Smut,44
Violence,44
Age Difference,44
Powerful Harry,44
Soul Bond,43
Power Dynamics,42
Drama,42
Enemies to Lovers,42
Time Travel Fix - It,42
Magically Powerful Harry Potter,41
Alternate Universe - No Voldemort,41
Slash,41
Torture,40
Dubious Consent,40
Minor Character Death,39
Eventual Smut,39
Harry Potter is a Horcrux,39
Character Death,38
Emotional Manipulation,38
Crack Treated Seriously,38
Alpha Tom Riddle,38
Omega Harry Potter,38
Eventual Romance,37
Obsession,37
Smart Harry Potter,36
Sexual Tension,36
Falling In Love,36
Hogwarts,36
Dark,36
Top Tom Riddle,35
POV Harry Potter,35
Emotional Hurt/Comfort,35
Character Study,35
no beta we die like men,35
Dom/sub Undertones,35
BAMF Harry Potter,35
Teenage Tom Riddle,34
One Shot,34
Parseltongue,34
Dark Magic,33
1940s,33
Politics,32
Sexual Content,32
Reincarnation,32
Ron Weasley Bashing,31
Not Beta Read,31
Slow Build,31
Obsessive Tom Riddle,31
Manipulation,31
Explicit Sexual Content,31
AU,30
Friendship,30
