Anal Sex,45
Angst,42
Time Travel,41
Possessive Tom Riddle,40
Romance,31
Slow Burn,30
Alternate Universe,27
Dubious Consent,26
Sane Tom Riddle,26
Rough Sex,25
Smut,24
Alternate Universe - Canon Divergence,24
Alpha/Beta/Omega Dynamics,23
Top Tom Riddle,22
Mpreg,22
Slytherin Harry Potter,21
Female Harry Potter,21
Dark Harry,20
Other Additional Tags to Be Added,20
Possessive Behavior,20
Age Difference,19
Oral Sex,19
Fluff,19
Unhealthy Relationships,18
Dark Harry Potter,18
Omega Harry Potter,18
Horcruxes,17
Magically Powerful Harry Potter,17
Alpha Tom Riddle,17
Explicit Sexual Content,17
Emotional Manipulation,16
Torture,16
Eventual Smut,16
Dirty Talk,16
Manipulative Tom Riddle,16
Sexual Content,15
Bottom Tom Riddle,15
Bottom Harry,14
Do not repost,14
Humor,14
Violence,14
Alternate Universe - Time Travel,14
Murder,14
Plot What Plot/Porn Without Plot,13
Bottom Harry Potter,13
First Time,13
Manipulative Albus Dumbledore,12
Dont copy to another site,12
Blow Jobs,12
none,12
Alternate Universe - Modern Setting,12
Morally Grey Harry Potter,12
Rimming,12
Slash,12
Soulmates,12
Albus Dumbledore Bashing,11
Sexual Tension,11
Angst with a Happy Ending,11
Soul Bond,11
Dom/sub Undertones,11
Masturbation,11
Rape/Non - con Elements,11
Fluff and Smut,11
Anal Fingering,11
Minister for Magic Tom Riddle,10
Established Relationship,10
Tom Riddle is His Own Warning,10
Praise Kink,10
Implied/Referenced Child Abuse,10
Manipulation,10
Bondage,10
Horror,10
Powerful Harry,10
Parseltongue,10
Porn With Plot,10
Professor Tom Riddle,9
Obsession,9
Tom Riddle is Not Voldemort,9
Alternate Universe - Muggle,9
Falling In Love,9
Enemies to Friends to Lovers,9
Hurt/Comfort,9
Mating Cycles/In Heat,9
Enemies to Lovers,9
Power Dynamics,9
Daddy Kink,9
Threesome - M/M/M,9
Character Death,8
Dead Dove: Do Not Eat,8
Not Beta Read,8
Stockholm Syndrome,8
Size Kink,8
Good Tom Riddle,8
Light BDSM,8
Master of Death Harry Potter,8
Dark,8
Extremely Dubious Consent,8
Harry Potter is a Horcrux,8
Sex Magic,8
Sort Of,8
Fluff and Angst,8
