Alternate Universe - Canon Divergence,224
Fluff,129
Angst,124
Time Travel,114
Master of Death Harry Potter,106
Slow Burn,104
Alternate Universe,103
Romance,98
Dark Harry Potter,94
Possessive Tom Riddle,93
Sane Voldemort (Harry Potter),93
Humor,92
Crack,89
Female Harry Potter,88
Harry Potter is a Horcrux,88
Horcruxes,87
Dark Harry,85
Sane Tom Riddle,84
Alternate Universe - Voldemort Wins,83
Albus Dumbledore Bashing,79
Other Additional Tags to Be Added,78
Implied/Referenced Child Abuse,72
Crack Treated Seriously,71
Manipulative Albus Dumbledore,70
Slytherin Harry Potter,69
none,67
Morally Grey Harry Potter,65
Magically Powerful Harry Potter,59
Possessive Voldemort (Harry Potter),53
Soulmates,50
Torture,50
Possessive Behavior,49
Anal Sex,49
Mpreg,47
Dubious Consent,46
Smut,44
Alternate Universe - Soulmates,44
Murder,43
Minor Character Death,41
Hurt/Comfort,40
Not Beta Read,39
Ron Weasley Bashing,39
Dark Magic,39
Dont copy to another site,38
Established Relationship,37
Alternate Universe - Modern Setting,37
Alternate Universe - Time Travel,37
Soul Bond,37
POV Tom Riddle,34
Violence,34
Bottom Harry Potter,33
Drama,33
One Shot,32
Dark,32
Age Difference,31
Manipulation,30
Politics,30
Pre - Slash,30
Unhealthy Relationships,30
Bottom Harry,30
Smart Harry Potter,29
Molly Weasley Bashing,29
BAMF Harry Potter,29
Slash,29
Friendship,29
Happy Ending,29
Not Canon Compliant,28
Soulmate - Identifying Marks,28
Young Tom Riddle,27
Ginny Weasley Bashing,27
Fluff and Angst,27
Enemies to Lovers,27
Tom Riddle is His Own Warning,27
Emotional Manipulation,26
Explicit Sexual Content,25
Powerful Harry,25
Angst with a Happy Ending,25
Eventual Smut,25
Oral Sex,25
Child Abuse,25
Parseltongue,25
Emotional Hurt/Comfort,25
Fluff and Crack,25
POV Harry Potter,25
Stockholm Syndrome,24
Fluff and Humor,24
Top Tom Riddle,24
Character Death,24
Suicidal Thoughts,24
Plot What Plot/Porn Without Plot,24
Kidnapping,24
Mentor Voldemort (Harry Potter),23
Eventual Romance,23
Obsessive Tom Riddle,23
Time Travel Fix - It,23
Cannibalism,23
Bottom Tom Riddle,22
Pureblood Culture (Harry Potter),22
tomarry - Freeform,22
Tooth - Rotting Fluff,22
Professor Tom Riddle,22
