Anal Sex,43
Alternate Universe - Canon Divergence,36
Smut,36
Dubious Consent,34
Possessive Tom Riddle,34
Angst,28
Romance,28
Explicit Sexual Content,24
Alternate Universe,24
Oral Sex,24
Alternate Universe - Voldemort Wins,24
Sane Voldemort (Harry Potter),23
Time Travel,22
Bottom Harry Potter,22
Plot What Plot/Porn Without Plot,21
Female Harry Potter,21
Horcruxes,20
Anal Fingering,20
Mpreg,19
Dark Harry Potter,17
Dark Harry,17
Possessive Voldemort (Harry Potter),17
Sane Tom Riddle,17
Other Additional Tags to Be Added,17
Torture,17
Soul Bond,17
Magically Powerful Harry Potter,17
Harry Potter is a Horcrux,16
Rape/Non - con Elements,16
Top Tom Riddle,16
Eventual Smut,16
Bottom Harry,16
Humor,16
Master of Death Harry Potter,15
Albus Dumbledore Bashing,15
Slow Burn,15
Age Difference,15
Murder,15
Possessive Behavior,15
Fluff,15
Manipulative Albus Dumbledore,15
Rimming,14
Morally Grey Harry Potter,14
Top Voldemort (Harry Potter),14
Minor Character Death,14
none,14
Slash,13
Violence,13
Do not repost,12
Rough Sex,12
Implied/Referenced Child Abuse,12
BDSM,12
Mildly Dubious Consent,12
Master/Pet,12
Gratuitously Hot Voldemort,12
Bottom Tom Riddle,11
Top Harry Potter,11
Extremely Dubious Consent,11
Dark,11
Cannibalism,11
Masturbation,11
Underage Sex,11
Dead Dove: Do Not Eat,11
Crack Treated Seriously,11
Kidnapping,11
Manipulative Tom Riddle,11
Porn With Plot,10
Dom/sub Undertones,10
Fluff and Smut,10
Stockholm Syndrome,10
Somnophilia,10
Size Kink,10
Praise Kink,10
Overstimulation,10
Blow Jobs,10
Soulmates,10
Sex Toys,10
First Time,10
Blood and Gore,10
Established Relationship,9
Hurt/Comfort,9
Bondage,9
Orgasm Delay/Denial,9
Begging,9
Dirty Talk,9
Pureblood Culture (Harry Potter),8
Book 7: Harry Potter and the Deathly Hallows,8
Loss of Virginity,8
Infidelity,8
Tom Riddle is His Own Warning,8
Hand Jobs,8
Spanking,8
Manipulation,8
Humiliation,8
Nipple Play,8
Happy Ending,8
Enemies to Lovers,8
Alpha/Beta/Omega Dynamics,8
Slytherin Harry Potter,8
POV Harry Potter,8
Minister for Magic Tom Riddle,7
