Alternate Universe - Canon Divergence,117
Fluff,80
Angst,79
Romance,77
Alternate Universe,64
Humor,64
Time Travel,60
Slow Burn,57
Alternate Universe - Voldemort Wins,57
Sane Voldemort (Harry Potter),56
Crack,54
Dark Harry Potter,53
Possessive Tom Riddle,52
Dark Harry,50
Master of Death Harry Potter,48
none,48
Crack Treated Seriously,44
Horcruxes,43
Harry Potter is a Horcrux,42
Smut,41
Sane Tom Riddle,39
Anal Sex,39
Other Additional Tags to Be Added,37
Implied/Referenced Child Abuse,35
Established Relationship,34
Dubious Consent,34
Soulmates,33
Mpreg,33
Possessive Behavior,31
Alternate Universe - Modern Setting,30
Not Beta Read,29
Murder,29
Albus Dumbledore Bashing,29
Morally Grey Harry Potter,28
Alternate Universe - Soulmates,27
Possessive Voldemort (Harry Potter),27
POV Tom Riddle,26
Magically Powerful Harry Potter,26
Slytherin Harry Potter,26
Torture,26
One Shot,26
Hurt/Comfort,25
Manipulative Albus Dumbledore,25
Age Difference,24
Bottom Harry Potter,24
Happy Ending,24
Minor Character Death,24
Plot What Plot/Porn Without Plot,23
Soul Bond,23
Violence,22
Drama,22
Explicit Sexual Content,21
Dark Magic,21
Alternate Universe - Time Travel,21
Dont copy to another site,21
Pre - Slash,20
Enemies to Lovers,20
POV Harry Potter,20
tomarry - Freeform,19
Stockholm Syndrome,19
Slash,19
Bottom Harry,19
Not Canon Compliant,18
Fluff and Humor,18
Dark,18
Manipulation,18
Top Voldemort (Harry Potter),18
Oral Sex,18
Unhealthy Relationships,17
Suicidal Thoughts,17
Anal Fingering,17
Tooth - Rotting Fluff,17
Emotional Hurt/Comfort,17
中文翻译 / Translation in Chinese,17
Bottom Tom Riddle,16
Politics,16
Eventual Smut,16
Top Tom Riddle,16
Angst with a Happy Ending,16
Emotional Manipulation,16
Kidnapping,16
Obsessive Tom Riddle,15
Cannibalism,15
Unreliable Narrator,15
Soulmate - Identifying Marks,15
Obsessive Behavior,15
Gratuitously Hot Voldemort,15
Top Harry Potter,14
Kissing,14
Alternate Universe - Non - Magical,14
Tom Riddle is His Own Warning,14
Romantic Fluff,14
Fluff and Angst,14
Implied/Referenced Character Death,14
Eventual Romance,14
Young Tom Riddle,14
Fluff and Crack,14
Blood and Gore,14
Ambiguous/Open Ending,14
Do not repost,13
BAMF Harry Potter,13
