Fluff,242
Angst,164
none,132
Romance,119
Alternate Universe - Canon Divergence,114
Friendship,112
Canon Compliant,105
romione,92
Hurt/Comfort,90
Post - War,81
Ron Weasley is a Good Friend,75
Fluff and Angst,71
The Golden Trio,69
Alternate Universe,69
Book 7: Harry Potter and the Deathly Hallows,64
Established Relationship,61
Harry Potter Epilogue What Epilogue / EWE,60
Fluff and Humor,55
Humor,51
Post - Battle of Hogwarts,50
Emotional Hurt/Comfort,49
Post Traumatic Stress Disorder - PTSD,48
Hogwarts,47
Smut,46
Post - Hogwarts,46
Drabble,45
Polyamory,44
Slow Burn,43
Domestic Fluff,42
Fluff and Smut,41
Family,40
Angst with a Happy Ending,40
Black Hermione Granger,39
Hermione Granger is a Good Friend,38
Love,38
Post - Canon,38
POV Ron Weasley,37
Ron Weasley - centric,37
One Shot,36
Alternate Universe - Muggle,35
Auror Ron Weasley,35
Missing Scene,35
POV Hermione Granger,33
Friends to Lovers,33
Friendship/Love,32
Time Travel,32
Slice of Life,31
Implied/Referenced Child Abuse,31
Christmas,31
Book 6: Harry Potter and the Half - Blood Prince,30
Oral Sex,29
Hogwarts Eighth Year,28
Hogwarts Sixth Year,27
Sex,26
Explicit Sexual Content,26
Mutual Pining,26
Angst and Hurt/Comfort,25
BAMF Hermione Granger,25
Grief/Mourning,25
Vaginal Sex,24
Harry Potter &amp; Ron Weasley Friendship,23
Ron Weasley Bashing,23
Horcrux Hunting,23
Character Study,23
Other Additional Tags to Be Added,23
Book 3: Harry Potter and the Prisoner of Azkaban,23
Post - Harry Potter and the Deathly Hallows,23
Drama,22
Book 5: Harry Potter and the Order of the Phoenix,22
Not Canon Compliant,22
Not Epilogue Compliant,21
Slytherin Harry Potter,21
Female Harry Potter,21
Threesome - F/M/M,21
Auror Harry Potter,21
Depression,21
Christmas Fluff,21
Family Fluff,21
Idiots in Love,21
Anal Sex,20
Manipulative Albus Dumbledore,20
Light Angst,20
Oneshot,20
Battle of Hogwarts,19
Hogwarts Era,19
Masturbation,19
Falling In Love,19
Original Character(s),19
Pining,19
Crack,19
Book 4: Harry Potter and the Goblet of Fire,18
Time Travel Fix - It,18
Mystery,18
First Time,18
Pregnancy,18
Romantic Fluff,18
Explicit Language,17
Best Friends,17
Panic Attacks,17
AU,17
Book 1: Harry Potter and the Philosophers Stone,17
