Smut,25
Marauders Era (Harry Potter),15
jily,10
Explicit Sexual Content,9
Oral Sex,9
Alternate Universe,9
Fluff,8
Romance,8
Alternate Universe - Canon Divergence,8
Marauders,7
Angst,7
Vaginal Sex,7
Eventual Smut,6
none,6
Fluff and Smut,6
Alternate Universe - Modern Setting,5
Canon Compliant,5
Slow Burn,5
Shameless Smut,5
Dirty Talk,5
Foursome - F/M/M/M,4
First War with Voldemort,4
Sex,4
Friends to Lovers,4
Anal Sex,4
Friends With Benefits,4
Hogwarts Seventh Year,4
Threesome - F/M/M,4
Polyamory,4
Established Relationship,4
Hurt/Comfort,3
Marauders Friendship (Harry Potter),3
Eventual James Potter/Lily Evans Potter,3
One Shot,3
Plot What Plot/Porn Without Plot,3
Enemies to Lovers,3
Light Bondage,3
Voyeurism,3
Alternate Universe - No Voldemort,3
Drama,3
Mpreg,3
Hogwarts,3
Pegging,2
Sex Toys,2
Rape/Non - con Elements,2
Loss of Virginity,2
Explicit Language,2
Kidnapping,2
Child Abuse,2
Pureblood Culture (Harry Potter),2
Mental Health Issues,2
Cruciatus Curse (Harry Potter),2
Violence,2
Angst and Hurt/Comfort,2
Person of Color James Potter,2
Enemies to Friends to Lovers,2
Sexual Tension,2
POV Lily Evans Potter,2
Rough Sex,2
Eventual Romance,2
Parent Death,2
First Time,2
wolfstar,2
Female Harry Potter,2
Humor,2
Light Angst,2
Alcohol,2
Swearing,2
Mutual Pining,2
Wrong Boy - Who - Lived (Harry Potter),2
Cheating,2
Angst and Feels,2
Implied/Referenced Torture,2
Revenge,2
Dark,2
Nipple Play,2
Cunnilingus,2
Magically Powerful Harry Potter,2
Domestic Fluff,2
Kitchen Sex,2
Getting Together,2
Dom/sub,2
Pining,2
Spanking,2
Jealousy,2
Angst and Fluff and Smut,2
Angst with a Happy Ending,2
Happy Ending,2
Friendship,2
Sex Magic,2
Orgasm Delay/Denial,2
Wedding Night,2
Manipulative Albus Dumbledore,2
Gringotts Wizarding Bank,2
Arranged Marriage,2
Porn with Feelings,2
Alternate Universe - Muggle,2
James Potter Loves Being Pegged,2
Art,1
Emotional Hurt/Comfort,1
Action/Adventure,1
