Fluff,245
Marauders Era (Harry Potter),221
jily,177
Marauders,130
Romance,114
Angst,112
Alternate Universe - Modern Setting,108
Canon Compliant,102
Alternate Universe - Muggle,90
First War with Voldemort,70
Marauders Friendship (Harry Potter),65
none,65
Humor,62
Hogwarts Seventh Year,60
Hogwarts,54
Friends to Lovers,54
Alternate Universe,54
Friendship,51
One Shot,51
Slow Burn,50
Hurt/Comfort,47
Alternate Universe - Canon Divergence,47
Fluff and Angst,46
Mutual Pining,45
First Kiss,41
Enemies to Friends to Lovers,39
Fluff and Humor,39
POV Lily Evans Potter,35
Established Relationship,35
Smut,30
Sirius Black &amp; James Potter Friendship,30
Love,28
Angst with a Happy Ending,27
Domestic Fluff,27
Pining,26
Enemies to Lovers,25
Alternate Universe - College/University,25
Lily Evans Potter Lives,23
Getting Together,22
Sirius Black &amp; Lily Evans Potter Friendship,22
Quidditch,22
Emotional Hurt/Comfort,22
Falling In Love,22
Drama,21
Texting,21
Christmas,20
Banter,20
Christmas Fluff,20
Family,19
James Potter &amp; Lily Evans Potter Live,19
James Potter Lives,19
Minor Sirius Black/Remus Lupin,19
Remus Lupin &amp; Lily Evans Potter Friendship,19
Cute,19
Marauders era,18
James Potter is a Good Friend,18
Family Fluff,18
Drabble,17
AU,17
Canonical Character Death,16
POV James Potter,16
Friendship/Love,16
中文翻译 / Translation in Chinese,16
Jilytober 2019,16
Hogwarts Sixth Year,15
jily au,15
Meet - Cute,15
Alternate Universe - Everyone Lives/Nobody Dies,15
Idiots in Love,15
Pregnancy,15
Jilytober 2020,15
Character Death,14
Time Travel,14
Head Boy James Potter,14
Tooth - Rotting Fluff,14
Tumblr Prompt,14
Kissing,14
Ficlet,14
War,13
Eventual Smut,13
Based on a Taylor Swift Song,13
Love Confessions,13
Minor Character Death,13
Eventual James Potter/Lily Evans Potter,13
Head Girl Lily Evans Potter,13
Fluff and Smut,13
Alternate Universe - Non - Magical,13
Fake/Pretend Relationship,13
Tumblr: jilytober,13
Short One Shot,13
Angst and Hurt/Comfort,12
Developing Relationship,12
Romantic Fluff,12
Soulmates,12
Grief/Mourning,12
Teen Romance,12
Muggle AU,12
Jealousy,12
Marriage Proposal,12
Alternate Universe - High School,12
Eventual Romance,11
