Female James Potter,19
fem!Jily,17
Fluff,11
fem!James - Freeform,8
jily,8
Hogwarts,5
Flirting,4
Alternate Universe - Modern Setting,4
Alternate Universe - Muggle,4
thejilyships Fem!Jily February 2021,4
Femslash February,4
Idiots in Love,4
Hogwarts Seventh Year,4
Angst,3
Fem!Jily February,3
Pining,3
Roommates,3
Marauders Era (Harry Potter),3
Fluff and Angst,3
soft girls,3
Friends to Lovers,3
Getting Together,3
Tumblr Prompt,3
Bottom Severus Snape,2
Male Lily Evans Potter,2
pinning,2
Jamie Potter - Freeform,2
Alternate Universe - College/University,2
Humor,2
Texting,2
Love Confessions,2
Sharing a Bed,2
Friendship,2
Alternate Universe - Fairy Tale,2
Meet - Cute,2
Romance,2
none,2
fem! jily,2
Established Relationship,2
Mutual Pining,2
Shrieking Shack,2
wolfstar,2
Albus Dumbledore Bashing,1
Alternate Universe,1
Mpreg,1
Character Death,1
Implied/Referenced Child Abuse,1
Wrong Boy - Who - Lived (Harry Potter),1
flirting with chess,1
seventh year fluff,1
clueless idiots,1
fem!James Potter - Freeform,1
Muggle AU,1
Disney Theme Park AU,1
Tooth - Rotting Fluff,1
Anti - Snape,1
too obsessed with fem jily these days,1
although i know is not february anymore,1
(Mentioned Extensively),1
Online Friendship,1
POV Outsider,1
Oblivious Lily Evans Potter,1
Crushes,1
Minor Swearing,1
fem!jiy,1
Enemies to Friends to Lovers,1
Clueless lesbians,1
Alternate Universe - Hogwarts,1
Alternate Universe - Soulmates,1
modern muggle,1
Alternate Universe - Gender Changes,1
Genderbending,1
Liam Evans - Freeform,1
Marauders,1
Jamie is hopeless,1
this is a big ball of sappy feelings,1
no angst on wlw land,1
Huddling For Warmth,1
jamie is really rather dim,1
POV Regulus Black,1
Minor James Potter/Lily Evans Potter,1
Mentioned Lily Evans Potter,1
Gay Regulus Black,1
Regulus Black - centric,1
Bisexual James Potter,1
Canon Compliant,1
Realization,1
Girls Kissing,1
Enemies to Lovers,1
Emotions,1
Happy Ending,1
blackevans friendship,1
Marauders Friendship (Harry Potter),1
hopeless girls,1
bed sharing,1
THERE WAS ONLY ONE BED,1
Mutual Pinning,1
its not unrequited love but she thinks it is,1
jamie is so dumb and we love her for it,1
lily is pulling the strings here,1
she knows what shed doing,1
