Marauders Era (Harry Potter),1699
Fluff,1660
wolfstar,1461
Angst,1146
Marauders,1042
Alternate Universe - Modern Setting,609
Hurt/Comfort,606
Marauders Friendship (Harry Potter),558
Fluff and Angst,524
Gay Sirius Black,464
Alternate Universe - Canon Divergence,450
Established Relationship,417
Slow Burn,403
Friends to Lovers,395
POV Remus Lupin,368
Getting Together,364
Hogwarts,360
Mutual Pining,345
Alternate Universe - Muggle,341
First War with Voldemort,340
First Kiss,340
Bisexual Remus Lupin,332
Remus Lupin Needs a Hug,326
Angst with a Happy Ending,309
Alternate Universe - Non - Magical,305
Alternate Universe,301
Implied/Referenced Child Abuse,288
Canon Compliant,281
Established Sirius Black/Remus Lupin,272
Pining,269
Friendship,269
none,264
Sirius Black &amp; James Potter Friendship,259
POV Sirius Black,256
One Shot,256
Smut,240
Emotional Hurt/Comfort,228
Werewolf Remus Lupin,222
Gay Remus Lupin,221
Humor,218
Happy Ending,216
Romance,214
Light Angst,203
Anal Sex,189
Remus Lupin &amp; Lily Evans Potter Friendship,188
Coming Out,184
jily,181
Fluff and Humor,175
Domestic Fluff,168
Young Sirius Black,159
Alternate Universe - College/University,154
Angst and Hurt/Comfort,154
Sirius Black Lives,150
Modern Marauders (Harry Potter),147
James Potter is a Good Friend,147
Love Confessions,145
Young Remus Lupin,144
Christmas,143
Alternate Universe - Everyone Lives/Nobody Dies,141
Minor James Potter/Lily Evans Potter,140
Idiots in Love,139
Sirius Black Needs a Hug,139
Fluff and Smut,134
Drabble,126
Texting,124
Gay,122
Sirius Black and Remus Lupin Raise Harry Potter,120
Oral Sex,117
Kissing,114
Depression,114
Love,111
Boys In Love,108
Other Additional Tags to Be Added,107
Swearing,107
Friendship/Love,103
Canonical Character Death,102
Werewolves,102
Child Abuse,102
Post - Sirius Black in Azkaban,102
Falling In Love,98
Grief/Mourning,97
Top Remus Lupin,97
Post - Hogwarts,97
Anxiety,94
Bottom Sirius Black,94
Blow Jobs,94
Remus Lupin Lives,93
Book 5: Harry Potter and the Order of the Phoenix,93
Bisexual Sirius Black,91
Sad Sirius Black,91
Christmas Fluff,89
Cute,87
Not Canon Compliant,85
Number Twelve Grimmauld Place,85
Panic Attacks,84
Anal Fingering,84
Tooth - Rotting Fluff,84
Meet - Cute,82
Plot What Plot/Porn Without Plot,82
Post - First War with Voldemort,81
Hogwarts Seventh Year,80
