Anal Sex,165
Smut,155
Marauders Era (Harry Potter),138
wolfstar,107
Oral Sex,94
Fluff,93
Angst,88
Fluff and Smut,87
Alternate Universe - Modern Setting,86
Established Relationship,77
Plot What Plot/Porn Without Plot,76
Anal Fingering,73
Blow Jobs,73
Dirty Talk,68
Marauders,66
Rimming,62
Hurt/Comfort,59
Bottom Sirius Black,58
Top Remus Lupin,57
Explicit Sexual Content,54
Alternate Universe,43
Friends to Lovers,43
Alternate Universe - Non - Magical,42
Getting Together,42
Alternate Universe - Canon Divergence,40
Rough Sex,40
Romance,39
Dom/sub,39
Porn with Feelings,39
BDSM,37
First Time,36
Slow Burn,36
Daddy Kink,35
Hand Jobs,35
Praise Kink,35
Alternate Universe - Muggle,34
Mutual Pining,34
Gay Sirius Black,32
Bottom Remus Lupin,32
Top Sirius Black,31
Spanking,30
Masturbation,30
Angst with a Happy Ending,30
Light Angst,30
Humor,29
Gay Sex,28
Happy Ending,27
Porn With Plot,27
Aftercare,26
Gay Remus Lupin,26
Asexual Character,25
Shameless Smut,25
Banter,25
Bisexual Remus Lupin,25
Eventual Smut,24
Light Dom/sub,24
Choking,24
Texting,24
First War with Voldemort,24
Frottage,24
Bondage,24
Multiple Orgasms,24
Established Sirius Black/Remus Lupin,23
Genderfluid Character,23
Recreational Drug Use,23
Implied/Referenced Child Abuse,23
Dom/sub Undertones,22
Fluff and Angst,21
none,21
Teasing,21
Asexuality Spectrum,20
POV Remus Lupin,20
Semi - Public Sex,20
Polyamory,19
Past Child Abuse,19
Sexual Content,19
Jealousy,19
Sex,19
Drinking,18
Coming Out,18
Dom Remus Lupin,18
Kink Negotiation,18
Threesome - M/M/M,17
POV Sirius Black,17
Werewolves,17
Post Traumatic Stress Disorder - PTSD,17
Domestic Fluff,17
Canon Compliant,17
Body Worship,17
Nipple Play,17
Light BDSM,16
Sirius Black Lives,16
No Age Play,16
Kissing,16
Angst and Fluff and Smut,16
Sub Sirius Black,16
Orgasm Delay/Denial,16
Pining,15
Bisexual Sirius Black,15
Remus Lupin Needs a Hug,15
Emotional Hurt/Comfort,15
