Fluff,1191
Marauders Era (Harry Potter),1065
wolfstar,984
Angst,692
Marauders,574
Hurt/Comfort,394
Alternate Universe - Modern Setting,354
Established Relationship,331
Fluff and Angst,320
First Kiss,291
Getting Together,290
Gay Sirius Black,287
Friends to Lovers,276
POV Remus Lupin,242
Alternate Universe - Canon Divergence,241
Marauders Friendship (Harry Potter),235
Mutual Pining,229
Angst with a Happy Ending,223
First War with Voldemort,213
Alternate Universe - Muggle,210
Hogwarts,208
Alternate Universe - Non - Magical,202
Remus Lupin Needs a Hug,196
Pining,193
Established Sirius Black/Remus Lupin,190
Bisexual Remus Lupin,188
One Shot,182
Canon Compliant,181
Alternate Universe,166
Smut,165
POV Sirius Black,163
Slow Burn,159
Anal Sex,158
Light Angst,156
Happy Ending,146
Werewolf Remus Lupin,144
none,140
Emotional Hurt/Comfort,138
Romance,136
Implied/Referenced Child Abuse,132
Gay Remus Lupin,132
Coming Out,127
Domestic Fluff,125
Sirius Black &amp; James Potter Friendship,122
Love Confessions,120
Humor,119
Fluff and Smut,106
Christmas,106
Fluff and Humor,105
Drabble,101
Minor James Potter/Lily Evans Potter,96
Oral Sex,93
Friendship,92
Kissing,92
Idiots in Love,92
Young Sirius Black,91
Angst and Hurt/Comfort,89
Young Remus Lupin,87
James Potter is a Good Friend,87
Post - Sirius Black in Azkaban,84
Sirius Black Needs a Hug,83
Top Remus Lupin,82
Boys In Love,81
Sirius Black and Remus Lupin Raise Harry Potter,77
Bottom Sirius Black,77
Plot What Plot/Porn Without Plot,76
Post - Hogwarts,76
Sirius Black Lives,75
Alternate Universe - College/University,74
Love,71
Anal Fingering,69
Meet - Cute,69
Blow Jobs,69
Number Twelve Grimmauld Place,66
Remus Lupin &amp; Lily Evans Potter Friendship,66
Grief/Mourning,66
Tooth - Rotting Fluff,66
Book 5: Harry Potter and the Order of the Phoenix,66
Get Together,63
Gay,63
Alternate Universe - Everyone Lives/Nobody Dies,62
Flirting,62
Christmas Fluff,62
Falling In Love,61
Cute,61
Sad Sirius Black,61
Depression,60
Sharing a Bed,60
Dirty Talk,59
Werewolves,58
Swearing,58
Canonical Character Death,57
Full Moon,56
Hogwarts Era,55
Hogwarts Seventh Year,55
Rimming,55
Sirius Black Free from Azkaban,54
Pre - Relationship,54
Modern Marauders (Harry Potter),54
First Meetings,54
Order of the Phoenix (Harry Potter),53
