AU,freq
Harry Potter,286
Hermione Granger,191
Draco Malfoy,158
Severus Snape,129
none,121
Remus Lupin,93
Sirius Black,93
Tom Riddle,47
James Potter,43
Lily Evans Potter,41
Ron Weasley,30
Ginny Weasley,27
Albus Dumbledore,24
Original Female Character,24
Gellert Grindelwald,23
Voldemort,20
Bellatrix Black Lestrange,17
Lucius Malfoy,15
Luna Lovegood,15
Regulus Black,14
Scorpius Malfoy,14
Fred Weasley,12
Narcissa Black Malfoy,12
Reader,11
Albus Severus Potter,11
Anakin Skywalker,8
Nymphadora Tonks,8
Fleur Delacour,7
Neville Longbottom,6
Tony Stark,6
Pansy Parkinson,6
Cedric Diggory,6
Lily Evans,6
Newt Scamander,6
Rodolphus Lestrange,5
Blaise Zabini,5
Andromeda Black Tonks,5
George Weasley,4
Original Male Character,4
Obi - Wan Kenobi,4
Tina Goldstein,4
Kylo Ren,3
Aziraphale,3
Crowley ,3
Teddy Lupin,3
Peter Parker,3
Daphne Greengrass,3
Original Character,3
Marlene McKinnon,3
Charlie Weasley,3
Percy Weasley,3
Lily Luna Potter,3
James Sirius Potter,2
Death,2
Clint Barton,2
Noctis Lucis Caelum,2
Katie Bell,2
Qui - Gon Jinn,2
Rabastan Lestrange,2
Oliver Wood,2
Harry and Ginny - Relationship,2
OFC,2
Stanley Uris,2
Eileen Prince,2
Bill Weasley,2
Edward Cullen,2
Astoria Greengrass,2
Colin Creevey,2
Petunia Evans Dursley,2
Minerva McGonagall,2
Midoriya Izuku,2
Doctor Granger,2
Derek Hale,2
Allen Walker,2
Original Percival Graves,2
Brady Parker,1
Duke Boomer Parker,1
Padmé Amidala,1
Tom Riddle Sr.,1
Alastor Moody,1
Penny Haywood,1
L,1
Yagami Light,1
Gertrude,1
Helena Potter,1
Anthony Reid,1
Merula Snyde,1
???,1
Rey,1
Jean - Claude (Anita Blake),1
Theodore Nott X Arian Blackthorn,1
Janet Fraiser,1
Rubeus Hagrid,1
Susan Bones,1
George Weasley (mentioned and implied),1
Prompto Argentum,1
Luke Patterson,1
Damon Salvatore,1
Elena Gilbert,1
wolfstar - Relationship,1
Rose Weasley,1
