Age Difference,freq
Harry Potter,288
Hermione Granger,157
Severus Snape,126
Draco Malfoy,91
Tom Riddle,66
Sirius Black,64
Remus Lupin,63
Lucius Malfoy,60
Original Female Character,47
Teddy Lupin,39
Voldemort,36
Scorpius Malfoy,35
Reader,26
James Sirius Potter,26
Narcissa Black Malfoy,25
Bellatrix Black Lestrange,24
Albus Severus Potter,23
Original Percival Graves,22
Lily Luna Potter,19
Charlie Weasley,17
Pansy Parkinson,16
Newt Scamander,13
James Potter,13
Horace Slughorn,13
Nymphadora Tonks,12
Minerva McGonagall,12
Albus Dumbledore,12
Credence Barebone,12
Ginny Weasley,11
Victoire Weasley,9
Neville Longbottom,8
none,8
Ron Weasley,8
Lavender Brown,8
Luna Lovegood,8
Fenrir Greyback,7
Original Character,7
Rose Weasley,7
Bill Weasley,6
Original Male Character,6
Blaise Zabini,6
Fleur Delacour,5
Regulus Black,5
Kingsley Shacklebolt,5
Oliver Wood,5
Gellert Grindelwald,5
Andromeda Black Tonks,4
Cedric Diggory,4
Dominique Weasley,4
Molly Weasley,3
Fred Weasley,3
Daphne Greengrass,3
George Weasley,3
Lily Evans Potter,3
Percy Weasley,3
Astoria Greengrass,3
Marcus Flint,3
Justin Finch - Fletchley,3
Cor Leonis,3
Theseus Scamander,3
Orion Black,2
Arthur Weasley,2
Mrs Zabini,2
Viktor Krum,2
Louis Weasley,2
Bakugou Katsuki,2
Hannah Abbott,2
Bartemius Crouch Sr.,2
Parvati Patil,2
Katie Bell,2
Septima Vector,2
Angelina Johnson,2
Rabastan Lestrange,2
Theodore Nott,2
Natasha Romanov ,2
Scabior,2
Millicent Bulstrode,2
Dean Thomas,2
Felix Rosier,2
Hugo Weasley,2
Alastor Moody,2
Amelia Bones,2
Сюха Потёмкина,2
Теймураз Алашвили,2
Michael Corner,2
Sanguini,2
Tony Stark,2
Shinazugawa Genya,2
Shinazugawa Sanemi,2
Eloise Midgen,2
Spike (BtVS),1
Pomona Sprout,1
Reader?,1
Bartemius Crouch Jr.,1
Past Lily Evens Potter,1
Gilderoy Lockhart,1
Walburga Black,1
Tom Riddle Sr.,1
Malachai Kai Parker,1
Hermione - Relationship,1
Other Relationship Tags to Be Added,1
