Age Difference,freq
Harry Potter,169
Hermione Granger,84
Severus Snape,61
Draco Malfoy,55
Sirius Black,34
Lucius Malfoy,33
Tom Riddle,32
Remus Lupin,32
Teddy Lupin,28
Voldemort,19
Scorpius Malfoy,18
James Sirius Potter,17
Original Female Character,16
Original Percival Graves,14
Narcissa Black Malfoy,13
Horace Slughorn,13
Albus Severus Potter,10
Pansy Parkinson,10
Reader,10
Ginny Weasley,9
Lily Luna Potter,9
Nymphadora Tonks,8
Bellatrix Black Lestrange,8
James Potter,7
Credence Barebone,7
Newt Scamander,6
Charlie Weasley,6
Fenrir Greyback,5
Original Male Character,4
Albus Dumbledore,4
Blaise Zabini,4
Victoire Weasley,3
Andromeda Black Tonks,3
Percy Weasley,3
Lavender Brown,3
Rose Weasley,3
Ron Weasley,3
Neville Longbottom,3
Original Character,3
Oliver Wood,3
Fleur Delacour,2
Arthur Weasley,2
Molly Weasley,2
Mrs Zabini,2
Daphne Greengrass,2
Bartemius Crouch Sr.,2
Septima Vector,2
none,2
Theodore Nott,2
Natasha Romanov ,2
Kingsley Shacklebolt,2
Luna Lovegood,2
Gellert Grindelwald,2
Alastor Moody,2
Minerva McGonagall,2
Michael Corner,2
Spike (BtVS),1
Bartemius Crouch Jr.,1
Past Lily Evens Potter,1
Gilderoy Lockhart,1
Fred Weasley,1
Malachai Kai Parker,1
Hermione - Relationship,1
Rubeus Hagrid,1
Portrait Severus Snape,1
Louis Weasley,1
Death,1
Zacharias Smith,1
Dobby,1
Din Djarin,1
Other,1
Hannah Abbott,1
Tina Goldstein,1
Parvati Patil,1
Katie Bell,1
Bill Weasley,1
Delphi,1
Original Characters,1
Riven,1
John Gissing,1
Original Female Characters,1
Mrs Granger,1
Astoria Greengrass,1
Rabastan Lestrange,1
Jethro Gibbs,1
Mundungus Fletcher,1
Kamijou Touma,1
Kumokawa Seria,1
Harem,1
Hagrid,1
Hermione,1
Dean Thomas,1
Vernon Dursley,1
Marcus Flint,1
Aegon VI Targaryen,1
Jon Snow,1
Romilda Vane,1
Dominique Weasley,1
Hugo Weasley,1
Igor Karkarov,1
Cedric Diggory,1
