Albus Dumbledore Bashing,freq
Harry Potter,717
Draco Malfoy,162
Severus Snape,148
none,139
Hermione Granger,123
Tom Riddle,101
Voldemort,100
Sirius Black,95
Remus Lupin,71
James Potter,60
Lily Evans Potter,51
Original Female Character,48
Lucius Malfoy,37
Fred Weasley,30
George Weasley,26
Luna Lovegood,25
Original Male Character,24
Narcissa Black Malfoy,24
Regulus Black,21
Blaise Zabini,20
Ron Weasley,20
Ginny Weasley,13
Tony Stark,13
Original Character,12
Theodore Nott,11
Other Relationship Tags to Be Added,10
Bellatrix Black Lestrange,10
Albus Dumbledore,9
Vernon Dursley,9
Bartemius Crouch Jr.,9
Fleur Delacour,9
Cedric Diggory,8
Charlie Weasley,8
Neville Longbottom,8
Petunia Evans Dursley,8
Marcus Flint,8
Loki ,7
Steve Rogers,7
Nico di Angelo,6
Viktor Krum,6
Minerva McGonagall,6
Daphne Greengrass,5
Rabastan Lestrange,5
Bill Weasley,5
Gellert Grindelwald,5
Merlin,5
Harem,5
Female Harry Potter,4
Salazar Slytherin,4
Arthur Pendragon (Merlin),4
Anakin Skywalker,4
Reader,4
Death,3
Arthur Weasley,3
Damian Wayne,3
Fenrir Greyback,3
Gomez Addams,3
Morticia Addams,3
Original Percival Graves,3
Percy Weasley,3
Percy Jackson,3
Pansy Parkinson,3
Other,3
Stiles Stilinski,3
harry potter,2
Henry Emily,2
William Afton | Dave Miller,2
Nymphadora Tonks,2
Molly Weasley,2
?,2
Jethro Gibbs,2
Alec Lightwood,2
Rodolphus Lestrange,2
Oliver Wood,2
Dobby,2
???,2
Death Eater Characters,2
none yet,2
Poppy Pomfrey,2
Alice Longbottom,2
Frank Longbottom,2
Jasper Hale,2
Qui - Gon Jinn,2
Dean Thomas,2
Gilgamesh,2
Clint Barton,2
Derek Hale,2
Kol Mikaelson,2
Obi - Wan Kenobi,2
Merlin (Merlin),2
Ginny Weasley - Relationship,2
past Harry Potter,2
Padma Patil,1
Parvati Patil,1
Caspian (Narnia),1
Peter Pettigrew,1
creepypasta,1
omc,1
Bellatrix Black Lestrange &amp;Original Character,1
Reborn (Katekyou Hitman Reborn!),1
Undetermined,1
