Albus Dumbledore Bashing,freq
Harry Potter,82
Hermione Granger,28
Severus Snape,26
Voldemort,18
Draco Malfoy,17
Tom Riddle,16
Sirius Black,13
James Potter,6
Original Female Character,5
Remus Lupin,5
Fred Weasley,3
Charlie Weasley,3
Harem,3
Arthur Weasley,2
Lucius Malfoy,2
Narcissa Black Malfoy,2
Theodore Nott,2
Female Harry Potter,2
George Weasley,2
Bellatrix Black Lestrange,2
Neville Longbottom,2
Marcus Flint,2
Lily Evans Potter,2
Original Character,2
none,2
Padma Patil,1
Parvati Patil,1
Original Male Character,1
Rabastan Lestrange,1
Antonin Dolohov,1
Molly Weasley,1
Ginny Weasley,1
Jethro Gibbs,1
Rodolphus Lestrange,1
Death,1
Bill Weasley,1
Fenrir Greyback,1
Dobby,1
Gomez Addams,1
Morticia Addams,1
Andromeda Black Tonks,1
Asami Ryuichi,1
Takaba Akihito,1
Everyone,1
Harry potter,1
Vernon Dursley,1
Albus Dumbledore,1
Thranduil (Tolkien),1
Rhaenys Targaryen,1
Noah Puckerman,1
Blaise Zabini,1
Erik Lehnsherr,1
Raven | Mystique,1
Harry Potter and John Wick,1
Bartemius Crouch Jr.,1
Gilderoy Lockhart,1
Other,1
Kara Zor - El,1
Multi,1
Ron Weasley,1
Percy Weasley,1
