Alternate Universe - Canon Divergence,freq
Harry Potter,2290
Hermione Granger,1166
Draco Malfoy,975
Sirius Black,751
none,657
Remus Lupin,589
Severus Snape,569
Tom Riddle,300
James Potter,285
Voldemort,271
Original Female Character,259
Lily Evans Potter,245
Ron Weasley,186
Ginny Weasley,165
Regulus Black,158
Bellatrix Black Lestrange,152
Luna Lovegood,109
Lucius Malfoy,108
Albus Dumbledore,84
Fred Weasley,82
Narcissa Black Malfoy,77
Gellert Grindelwald,68
Cedric Diggory,60
Neville Longbottom,59
Pansy Parkinson,55
Original Male Character,53
Original Percival Graves,53
George Weasley,52
Blaise Zabini,51
Reader,50
Fleur Delacour,50
Nymphadora Tonks,47
Newt Scamander,45
Petunia Evans Dursley,42
Theodore Nott,42
Original Character,37
Credence Barebone,35
Tony Stark,31
Daphne Greengrass,31
Percy Weasley,28
Minerva McGonagall,22
Charlie Weasley,19
Andromeda Black Tonks,19
Oliver Wood,19
Tina Goldstein,19
Other Relationship Tags to Be Added,17
Marcus Flint,17
Viktor Krum,16
Lavender Brown,16
Vernon Dursley,15
Scorpius Malfoy,15
Dudley Dursley,15
Dean Thomas,14
Minor or Background Relationship,14
Molly Weasley,13
Astoria Greengrass,13
Percy Jackson,13
Albus Severus Potter,13
Peter Pettigrew,12
Theseus Scamander,12
Teddy Lupin,11
James Bucky Barnes,11
Arthur Weasley,11
Cho Chang,11
Marlene McKinnon,10
Susan Bones,10
Loki ,10
Queenie Goldstein,10
Bill Weasley,10
Steve Rogers,9
Katie Bell,9
Antonin Dolohov,9
Seamus Finnigan,9
Lily Evans,9
Peter Hale,8
Merlin,8
Salazar Slytherin,8
Death,8
Bartemius Crouch Jr.,8
Hannah Abbott,8
The Dursleys,8
Terence Higgs,8
Desmond Miles,7
Arthur Pendragon (Merlin),7
Thorfinn Rowle,7
Basilisk,7
Parvati Patil,7
Dean Winchester,7
Loki,7
Kylo Ren,7
Nico di Angelo,7
Robb Stark,7
Will Graham,6
Merula Snyde,6
Player Character,6
Dorcas Meadowes,6
Tracey Davis,6
Annabeth Chase,6
Rolf Scamander,6
Midoriya Izuku,6
Edward Cullen,6
