Alternate Universe - Harry Potter Setting,freq
Harry Potter,47
Draco Malfoy,33
Hermione Granger,32
Severus Snape,13
Rey,13
Kylo Ren,11
Original Female Character,8
Sirius Black,6
Ginny Weasley,5
Reader,5
Remus Lupin,4
Lily Evans Potter,4
Fred Weasley,4
Voldemort,4
none,3
Ron Weasley,3
Tom Riddle,3
Harry Styles,2
Louis Tomlinson,2
Original Character,2
Bellatrix Black Lestrange,2
Luna Lovegood,2
Marcus Flint,2
Oliver Wood,2
Original Male Character,2
Ben Solo,2
James Potter,2
Wang Yi Bo,1
Xiao Zhan | Sean,1
Severus Snape x Reader,1
Loki ,1
Harry Hart | Galahad,1
Neville Longbottom,1
Pansy Parkinson,1
Miya Atsumu,1
Miya Osamu,1
Rose Weasley,1
Scorpius Malfoy,1
Minerva McGonagall,1
Bill Weasley,1
Peter Parker,1
Tony Stark,1
Im Jaebum | JB,1
Jackson Wang,1
Bartemius Crouch Jr.,1
Dobby,1
George Weasley,1
Lucius Malfoy,1
Charlie Weasley,1
Nymphadora Tonks,1
Luna Lightfoot,1
John Watson,1
Sherlock Holmes,1
Narcissa Black Malfoy,1
Kara Danvers,1
Lena Luthor,1
OFC,1
OMC,1
Other Relationship Tags to Be Added,1
Daphne Greengrass,1
Dick Grayson,1
Castiel,1
Dean Winchester,1
Anakin Skywalker,1
Obi - Wan Kenobi,1
Byun Baekhyun,1
Oh Sehun,1
Astoria Greengrass,1
many and multiple,1
Sansa Stark,1
Tywin Lannister,1
Bang Chan,1
Hwang Hyunjin,1
Caroline Forbes,1
Klaus Mikaelson,1
Thorin Oakenshield,1
Blaise Zabini,1
Clint Barton,1
Jung Hoseok | J - Hope,1
Min Yoongi | Suga,1
Molly Weasley,1
Arthur Pendragon (Merlin),1
Merlin,1
Student,1
student - Relationship,1
Delia Busby,1
Patsy Mount,1
Gellert Grindelwald,1
Loki,1
Arthur Weasley,1
Poppy Pomfrey,1
