Alternate Universe - Hogwarts,freq
Draco Malfoy,24
Hermione Granger,17
Harry Potter,17
Severus Snape,11
Original Female Character,8
Reader,6
Kylo Ren,5
Rey,5
Remus Lupin,4
Sirius Black,4
Tom Riddle,3
Min Yoongi | Suga,2
Fred Weasley,2
none,2
Harry Styles,2
Louis Tomlinson,2
Bellatrix Black Lestrange,2
Jeon Jungkook,2
Lucius Malfoy,2
Shelby Goodkind,1
Toni Shalifoe,1
Harry Hart | Galahad,1
Derek Hale,1
Stiles Stilinski,1
Kim Namjoon | RM,1
Kim Seokjin | Jin,1
Bill Weasley,1
Lily Evans,1
Dobby,1
Din Djarin,1
George Weasley,1
Thorfinn Rowle,1
Victoria Ainsley,1
Marcus Flint,1
Oliver Wood,1
Ron Weasley,1
Albus Dumbledore,1
Gellert Grindelwald,1
Petyr Baelish,1
Sansa Stark,1
Cordelia Carstairs,1
James Herondale,1
Lily Evans Potter,1
Byun Baekhyun,1
Oh Sehun,1
Park Jimin,1
Alice Cullen,1
Jasper Hale,1
Ahsoka Tano,1
Darth Maul,1
Andrew Minyard,1
Neil Josten,1
Ginny Weasley,1
Reader x snape,1
Aziraphale,1
Crowley ,1
Angela Mercy Ziegler,1
Fareeha Pharah Amari,1
Voldemort,1
Nico di Angelo,1
Will Solace,1
Jung Hoseok | J - Hope,1
Kim Taehyung | V,1
Choi San,1
Jung Wooyoung,1
Thirteenth Doctor,1
Yasmin Khan,1
Narcissa Black Malfoy,1
Eren Yeager,1
Levi,1
