Alternate Universe - Modern Setting,freq
Sirius Black,646
Remus Lupin,633
Harry Potter,339
James Potter,200
Hermione Granger,185
Draco Malfoy,183
Lily Evans Potter,159
Tom Riddle,133
Original Percival Graves,71
Credence Barebone,58
Newt Scamander,49
Severus Snape,40
Voldemort,39
Ginny Weasley,34
none,34
Regulus Black,30
Ron Weasley,29
Tina Goldstein,28
Bellatrix Black Lestrange,27
Pansy Parkinson,22
Original Female Character,20
Narcissa Black Malfoy,20
Luna Lovegood,16
Reader,16
Gellert Grindelwald,16
Oliver Wood,14
Albus Dumbledore,14
Marlene McKinnon,13
Marcus Flint,13
Fleur Delacour,9
Percy Weasley,9
Theodore Nott,9
Scorpius Malfoy,9
Nymphadora Tonks,8
Cho Chang,8
George Weasley,8
Fred Weasley,8
Teddy Lupin,8
Neville Longbottom,7
Dorcas Meadowes,7
Lucius Malfoy,7
Albus Severus Potter,7
Cedric Diggory,7
Theseus Scamander,6
Viktor Krum,6
James Sirius Potter,6
Original Male Character,5
Dean Thomas,4
Peter Pettigrew,4
Thorfinn Rowle,4
Minerva McGonagall,4
Blaise Zabini,4
Kylo Ren,4
Original Character,4
Seamus Finnigan,3
Andromeda Black Tonks,3
Rey,3
Salazar Slytherin,3
Charlie Weasley,3
Lavender Brown,2
Parvati Patil,2
Other Relationship Tags to Be Added,2
Lee Jordan,2
Victoire Weasley,2
Jacob Black,2
Minor or Background Relationship,2
Steve Rogers,2
Ginny Weasley - Relationship,2
past Harry Potter,2
Rubeus Hagrid,2
James,2
Lily,2
Bill Weasley,2
Clarke Griffin,2
Lexa,2
Lily Luna Potter,2
Rose Weasley,2
Frank Longbottom,2
Mrs Zabini,2
OFC,2
Female Harry Potter,2
Godric Gryffindor,2
Astoria Greengrass,2
Rolf Scamander,2
Gunnar Grimmson,2
Billy Hargrove,2
Steve Harrington,2
Seraphina Picquery,2
Ahsoka Tano,1
Anakin Skywalker,1
wolfstar - Relationship,1
Tom Riddle Sr.,1
Harry Hart | Galahad,1
Jane Foster,1
Loki,1
Poe Dameron,1
Rowena Ravenclaw,1
Death,1
Ramsay Bolton,1
Irma Pince,1
Myrtle Warren,1
