Alternate Universe - Modern Setting,freq
Sirius Black,89
Remus Lupin,87
Harry Potter,57
Draco Malfoy,42
Hermione Granger,41
Original Percival Graves,36
Credence Barebone,33
Tom Riddle,25
Newt Scamander,11
Severus Snape,9
James Potter,7
Voldemort,6
Pansy Parkinson,6
Lily Evans Potter,6
Oliver Wood,4
Bellatrix Black Lestrange,4
Gellert Grindelwald,4
Ron Weasley,4
Tina Goldstein,4
James Sirius Potter,4
Ginny Weasley,4
Neville Longbottom,3
Marcus Flint,3
Kylo Ren,3
Rey,3
Narcissa Black Malfoy,3
Albus Dumbledore,3
Original Female Character,2
Theodore Nott,2
Lucius Malfoy,2
Teddy Lupin,2
Percy Weasley,2
Luna Lovegood,2
Female Harry Potter,2
none,2
Harry Hart | Galahad,1
Other Relationship Tags to Be Added,1
Original Male Character,1
Victoire Weasley,1
Thorfinn Rowle,1
Reader,1
Bill Weasley,1
Minerva McGonagall,1
Rubeus Hagrid,1
Fleur Delacour,1
Mrs Zabini,1
Romilda Vane,1
Dean Thomas,1
Female Harry potter,1
Eren Yeager,1
Levi,1
Alice Longbottom,1
Frank Longbottom,1
Theseus Scamander,1
Donald Trump,1
Dorcas Meadowes,1
Marlene McKinnon,1
Nymphadora Tonks,1
Queenie Goldstein,1
Vinda Rosier,1
Albus Severus Potter,1
Scorpius Malfoy,1
Derek Hale,1
Stiles Stilinski,1
Ginny Weasley - Relationship,1
past Harry Potter,1
Abernathy,1
Gunnar Grimmson,1
