Alternate Universe - Muggle,freq
Hermione Granger,55
Harry Potter,54
Draco Malfoy,46
Sirius Black,38
Remus Lupin,37
Tom Riddle,23
Severus Snape,10
Lucius Malfoy,6
Voldemort,5
Bellatrix Black Lestrange,5
Pansy Parkinson,3
Original Male Character,3
Victoire Weasley,3
James Sirius Potter,3
Teddy Lupin,3
Luna Lovegood,3
James Potter,3
Lily Evans Potter,3
Ginny Weasley,3
Neville Longbottom,2
Marcus Flint,2
Oliver Wood,2
Narcissa Black Malfoy,2
Original Female Character,1
Thorfinn Rowle,1
Cormac McLaggen,1
Lily Evans,1
Petunia Evans Dursley,1
Albus Severus Potter,1
Scorpius Malfoy,1
Fenrir Greyback,1
Fred Weasley,1
Asami Ryuichi,1
Marlene McKinnon,1
Rabastan Lestrange,1
Dean Thomas,1
Female Harry potter,1
Sybill Trelawney,1
Charlie Weasley,1
Percy Weasley,1
Andromeda Black Tonks,1
Ted Tonks,1
Horace Slughorn,1
Theodore Nott,1
Queenie Goldstein,1
Vinda Rosier,1
