Alternate Universe - Non - Magical,freq
Remus Lupin,320
Sirius Black,318
Harry Potter,267
Draco Malfoy,134
Hermione Granger,76
Tom Riddle,74
Severus Snape,57
James Potter,40
Lily Evans Potter,23
Voldemort,21
Ginny Weasley,21
Ron Weasley,16
Luna Lovegood,15
Regulus Black,12
none,12
Newt Scamander,12
Original Percival Graves,9
Narcissa Black Malfoy,9
Scorpius Malfoy,9
Original Female Character,8
Pansy Parkinson,7
Fleur Delacour,6
George Weasley,5
Credence Barebone,5
Oliver Wood,5
Tina Goldstein,5
Albus Severus Potter,5
Lucius Malfoy,5
Bellatrix Black Lestrange,5
Fred Weasley,4
Nymphadora Tonks,4
Marcus Flint,4
Marlene McKinnon,4
Percy Weasley,4
Cho Chang,4
Lavender Brown,3
Dorcas Meadowes,3
James Sirius Potter,3
Albus Dumbledore,3
Gellert Grindelwald,3
Teddy Lupin,3
Charlie Weasley,3
Viktor Krum,3
Theseus Scamander,3
Blaise Zabini,3
wolfstar - Relationship,2
Parvati Patil,2
Neville Longbottom,2
Daphne Greengrass,2
Lily Luna Potter,2
Rose Weasley,2
Scabior,2
Cormac McLaggen,2
Reader,2
Cedric Diggory,2
Theodore Nott,2
Molly Weasley,1
More pairings to be added - Relationship,1
Mary Macdonald,1
Minerva McGonagall,1
Andromeda Black Tonks,1
Peter Pettigrew,1
Caelum Lestrange,1
Harriet Potter | Rigel Black,1
Victoire Weasley,1
Adrian Pucey,1
Rigo Vasquez,1
Antonin Dolohov,1
Gilderoy Lockhart,1
James,1
Lily,1
Castiel,1
Dean Winchester,1
Fabian Prewett,1
Rowena Ravenclaw,1
Salazar Slytherin,1
Mrs Zabini,1
Millicent Bulstrode,1
Edward Cullen,1
Carlisle Cullen,1
Astoria Greengrass,1
Draco Malfoy Hermione Granger,1
Alice Longbottom,1
Frank Longbottom,1
Gideon Prewett,1
Simon Snow,1
Tyrannus Basilton Baz Pitch,1
Sam Winchester,1
Other,1
