Alternate Universe - Soulmates,freq
Harry Potter,369
Draco Malfoy,160
Hermione Granger,140
Sirius Black,89
Remus Lupin,76
Tom Riddle,70
Voldemort,48
James Potter,39
Severus Snape,39
Original Female Character,33
Ginny Weasley,23
Fred Weasley,22
Reader,21
Lily Evans Potter,21
Luna Lovegood,20
Ron Weasley,19
Regulus Black,16
Loki ,15
none,14
Newt Scamander,13
Fleur Delacour,11
Bellatrix Black Lestrange,11
Blaise Zabini,11
James Bucky Barnes,9
Cedric Diggory,9
Gellert Grindelwald,9
Original Percival Graves,9
Tony Stark,9
Charlie Weasley,9
Albus Dumbledore,9
Neville Longbottom,8
George Weasley,8
Lucius Malfoy,8
Narcissa Black Malfoy,8
Oliver Wood,8
Percy Weasley,8
Pansy Parkinson,7
Theodore Nott,7
Steve Rogers,6
Scorpius Malfoy,6
Original Character,6
Nico di Angelo,5
Albus Severus Potter,5
Marcus Flint,5
Teddy Lupin,5
Petunia Evans Dursley,4
Credence Barebone,4
Mycroft Holmes,4
Stiles Stilinski,4
Original Male Character,4
Viktor Krum,4
James Sirius Potter,4
Caspian (Narnia),3
Anakin Skywalker,3
Damian Wayne,3
Peter Parker,3
Dean Thomas,3
Antonin Dolohov,3
Bill Weasley,3
Nymphadora Tonks,3
Abraxas Malfoy,3
Padma Patil,3
Portgas D. Ace,3
Kuroo Tetsurou,3
Tina Goldstein,3
Merlin (Merlin),3
Dean Winchester,3
Peter Pettigrew,2
Dirk Gently,2
Tom Riddle Voldemort,2
Seamus Finnigan,2
wolfstar - Relationship,2
Astoria Greengrass,2
Cho Chang,2
Death,2
Todoroki Shouto,2
Vernon Dursley,2
Arthur Pendragon (Merlin),2
Merlin,2
Other Relationship Tags to Be Added,2
Jacob Black,2
Harriet Potter | Rigel Black,2
Rose Weasley,2
Original Non - Binary Character,2
Edward Cullen,2
Dudley Dursley,2
Derek Hale,2
Cor Leonis,2
Narcissa Black,2
Takami Keigo | Hawks,2
Daphne Greengrass,2
Kylo Ren,2
Rey,2
Fenrir Greyback,2
Arthur Weasley,2
Female Harry Potter,1
Peter Hale,1
Jane Foster,1
Loki,1
Gomez Addams,1
Morticia Addams,1
