Alternate Universe,freq
Harry Potter,1265
Hermione Granger,910
Draco Malfoy,609
none,455
Severus Snape,437
Sirius Black,415
Remus Lupin,398
Tom Riddle,246
James Potter,191
Lily Evans Potter,153
Original Female Character,148
Voldemort,128
Ron Weasley,116
Ginny Weasley,96
Lucius Malfoy,74
Bellatrix Black Lestrange,72
Gellert Grindelwald,60
Albus Dumbledore,59
Luna Lovegood,55
Pansy Parkinson,51
Nymphadora Tonks,50
Regulus Black,45
Loki ,40
Narcissa Black Malfoy,39
Scorpius Malfoy,36
Newt Scamander,36
Fleur Delacour,34
Original Percival Graves,33
Original Character,33
Fred Weasley,31
Original Male Character,31
Daphne Greengrass,30
Charlie Weasley,30
Theodore Nott,28
Steve Rogers,28
Albus Severus Potter,27
Reader,27
Neville Longbottom,25
Tony Stark,24
George Weasley,22
Cedric Diggory,22
Blaise Zabini,22
Oliver Wood,21
Tina Goldstein,19
Bill Weasley,17
Astoria Greengrass,16
James Bucky Barnes,16
Loki,16
Viktor Krum,15
Credence Barebone,13
James Sirius Potter,13
Marcus Flint,12
Sheev Palpatine,12
Percy Weasley,12
Thor ,12
Petunia Evans Dursley,11
Salazar Slytherin,11
Teddy Lupin,11
Minerva McGonagall,10
Sherlock Holmes,10
Abraxas Malfoy,9
Natasha Romanov ,9
Kingsley Shacklebolt,9
Other,8
Nico di Angelo,8
Lily Evans,8
Gideon Prewett,8
Rodolphus Lestrange,8
Molly Weasley,8
Darcy Lewis,8
Will Solace,7
Thorfinn Rowle,7
Kylo Ren,7
Dean Winchester,7
Fenrir Greyback,7
Stephen Strange,7
John Watson,7
Theseus Scamander,7
Percy Jackson,6
Adrian Pucey,6
Death,6
Edward Cullen,6
Clint Barton,6
Andromeda Black Tonks,6
Jafar (Disney),6
Rey,6
Tracey Davis,6
Arthur Weasley,6
Bartemius Crouch Jr.,6
Fon (Katekyou Hitman Reborn!),6
Rabastan Lestrange,5
Lavender Brown,5
Jasper Hale,5
Godric Gryffindor,5
Marlene McKinnon,5
Lily Luna Potter,5
Alastor Moody,5
Padma Patil,5
Queenie Goldstein,5
Robb Stark,5
Fabian Prewett,5
