Anal Fingering,freq
Harry Potter,582
Draco Malfoy,445
Sirius Black,97
Hermione Granger,88
Remus Lupin,84
Severus Snape,74
Ron Weasley,28
Scorpius Malfoy,24
Albus Severus Potter,24
Original Percival Graves,23
Voldemort,21
James Sirius Potter,21
Teddy Lupin,21
Lucius Malfoy,19
Tom Riddle,18
Ginny Weasley,14
Theodore Nott,14
Neville Longbottom,13
Credence Barebone,13
Gellert Grindelwald,11
Albus Dumbledore,11
James Potter,9
Newt Scamander,9
George Weasley,9
Charlie Weasley,8
Fred Weasley,8
Oliver Wood,8
Pansy Parkinson,8
Original Male Character,7
Marcus Flint,7
Blaise Zabini,7
Arthur Weasley,7
Original Female Character,5
Tony Stark,5
Dean Thomas,5
Narcissa Black Malfoy,5
Daphne Greengrass,4
Viktor Krum,4
Cedric Diggory,3
Prince Charmont (Ella Enchanted),3
Parvati Patil,3
Nymphadora Tonks,3
Lily Evans Potter,3
Cormac McLaggen,3
Seamus Finnigan,3
Reader,3
Luna Lovegood,3
Theseus Scamander,3
Scorpius,3
Teddy,3
Bellatrix Black Lestrange,3
Angelina Johnson,2
Colin Creevey,2
Regulus Black,2
Eren Yeager,2
Other,2
Lavender Brown,2
Dudley Dursley,2
Albus,2
James,2
Astoria Greengrass,2
James Bucky Barnes,2
Dobby,2
Percy Weasley,2
Desmond Miles,2
none,2
Fleur Delacour,2
Spike (BtVS),1
Hannibal Lecter,1
Will Graham,1
L,1
Johann Struensee,1
Mrs Zabini,1
Loki ,1
Miya Atsumu,1
Miya Osamu,1
Frank Zhang,1
Percy Jackson,1
Peter Hale,1
Bill Weasley,1
Peeves,1
Jasper Hale,1
Orion Black,1
Levi Ackerman,1
Kaecilius,1
Hannah Abbott,1
Seraphina Picquery,1
O&#39;Knutzylus,1
Jae Kim,1
Player Character (Hogwarts Mystery),1
Ask Me,1
Girl Of Readerr Dreams,1
Aberforth Dumbledore,1
Hermione,1
Antonin Dolohov,1
Aria T&#39;Loak,1
Jack | Subject Zero,1
Mundungus Fletcher,1
Cho Chang,1
Ignatius Ig Perrish,1
Merrin Williams,1
