Anal Sex,freq
Harry Potter,1316
Draco Malfoy,822
Severus Snape,272
Sirius Black,227
Remus Lupin,197
Hermione Granger,184
Ron Weasley,76
Lucius Malfoy,71
Tom Riddle,58
Voldemort,48
Ginny Weasley,46
Scorpius Malfoy,39
Albus Severus Potter,38
Original Percival Graves,33
James Sirius Potter,30
Teddy Lupin,29
Neville Longbottom,27
James Potter,26
Albus Dumbledore,25
Original Male Character,23
Theodore Nott,23
Newt Scamander,21
Gellert Grindelwald,20
George Weasley,20
none,19
Charlie Weasley,19
Pansy Parkinson,19
Narcissa Black Malfoy,19
Blaise Zabini,19
Daphne Greengrass,18
Fred Weasley,18
Credence Barebone,18
Original Female Character,16
Oliver Wood,15
Lily Evans Potter,14
Nymphadora Tonks,12
Reader,12
Marcus Flint,12
Viktor Krum,12
Fleur Delacour,12
Regulus Black,11
Arthur Weasley,11
Cedric Diggory,10
Fenrir Greyback,10
Dean Thomas,10
Percy Weasley,9
Luna Lovegood,9
Other,8
Peter Pettigrew,8
Bellatrix Black Lestrange,8
Bill Weasley,7
Theseus Scamander,7
Cormac McLaggen,7
Tony Stark,6
Seamus Finnigan,6
Astoria Greengrass,4
Rose Weasley,4
Lily Luna Potter,4
Horace Slughorn,4
Prince Charmont (Ella Enchanted),3
Loki ,3
Steve Rogers,3
Original Character,3
Susan Bones,3
Hermione,3
Edward (Anita Blake),3
Everyone,3
Kara Zor - El,3
Scorpius,3
Teddy,3
Vernon Dursley,3
Bartemius Crouch Jr.,3
Hugo Weasley,3
Desmond Miles,3
L,2
Daenerys Targaryen,2
Graham Montague,2
Colin Creevey,2
Harry Styles,2
Louis Tomlinson,2
Gilderoy Lockhart,2
Arya Stark,2
Parvati Patil,2
Eren Yeager,2
Hannah Abbott,2
Quirinus Quirrell,2
Lavender Brown,2
Minerva McGonagall,2
Dudley Dursley,2
Jean - Claude (Anita Blake),2
Micah Callahan,2
o&#39;knutzy - Relationship,2
Carlisle Cullen,2
Alicia Spinnet,2
Rubeus Hagrid,2
Finn O&#39;Hara,2
Leo Knut,2
Asami Ryuichi,2
Albus,2
James,2
Albus Severus Potter - Weasley,2
