Angst and Hurt/Comfort,freq
Harry Potter,331
Draco Malfoy,311
Hermione Granger,193
Remus Lupin,192
Sirius Black,189
Severus Snape,101
Original Female Character,74
Ron Weasley,47
James Potter,47
none,46
Reader,44
Tom Riddle,39
Lily Evans Potter,38
Ginny Weasley,26
Newt Scamander,24
Regulus Black,23
Voldemort,16
Fred Weasley,16
Neville Longbottom,15
Lucius Malfoy,15
Original Percival Graves,15
George Weasley,14
Narcissa Black Malfoy,13
Luna Lovegood,12
Scorpius Malfoy,12
Bellatrix Black Lestrange,12
Credence Barebone,12
Charlie Weasley,11
Tina Goldstein,11
Original Character,10
Pansy Parkinson,10
Nymphadora Tonks,9
Theodore Nott,9
Astoria Greengrass,8
Albus Severus Potter,8
James Sirius Potter,8
Peter Pettigrew,7
Albus Dumbledore,7
Percy Weasley,7
Blaise Zabini,6
Gellert Grindelwald,6
Original Male Character,6
Fleur Delacour,6
Teddy Lupin,6
Molly Weasley,5
Merula Snyde,5
Cedric Diggory,5
Arthur Weasley,4
Kylo Ren,4
Rey,4
Marlene McKinnon,4
Dean Thomas,4
Seamus Finnigan,4
Annabeth Chase,4
Percy Jackson,4
Andromeda Black Tonks,4
Lily Evans,4
Rose Weasley,4
Bill Weasley,4
Theseus Scamander,4
Other,3
Dorcas Meadowes,3
Daphne Greengrass,3
Arthur Pendragon (Merlin),3
Merlin,3
Oliver Wood,3
Petunia Evans Dursley,3
Marcus Flint,3
Dean Winchester,3
Lily Luna Potter,3
Klaus Mikaelson,2
Mary Macdonald,2
Susan Bones,2
Leo Knut,2
Marauders,2
Player Character,2
Midoriya Izuku,2
Todoroki Shouto,2
Other Relationship Tags to Be Added,2
Hatake Kakashi,2
Vernon Dursley,2
Clint Barton,2
Viktor Krum,2
Faith Lehane,2
Corpse Husband,1
Jeremy Wang,1
Rachel Rae Hofstetter,1
Sykkuno,1
Ahsoka Tano,1
Anakin Skywalker,1
Loki ,1
Alec Lightwood,1
Magnus Bane,1
Evie,1
Uma (Disney),1
they are children,1
Millicent Bulstrode,1
Acnologia,1
Sherlock Holmes,1
Weasley Family,1
Stefan Salvatore,1
